Date,Close,High,Low,Open,Volume,MA_5,MA_10,MA_20,Vol_MA_5,Vol_MA_20
2025-01-02,1044.473876953125,1054.281143403389,1034.666610502861,1049.3775101782571,43177098,,,,,
2025-01-03,1054.281005859375,1064.0882710301598,1054.281005859375,1059.1846384447674,30415096,,,,,
2025-01-06,1103.3175048828125,1103.3175048828125,1073.8957047526042,1078.799338107639,69289786,,,,,
2025-01-07,1108.22119140625,1137.642992948009,1108.22119140625,1127.835725767423,48758688,,,,,
2025-01-08,1083.703125,1108.2212952488687,1083.703125,1088.6067590497737,45211419,1078.7993408203124,,,47370417.4,
2025-01-09,1078.799560546875,1093.5104636452415,1078.799560546875,1078.799560546875,27263215,1085.6644775390625,,,44187640.8,
2025-01-10,1078.799560546875,1088.6068292791194,1078.799560546875,1078.799560546875,22021522,1090.5681884765625,,,42508926.0,
2025-01-13,1054.281005859375,1093.5100665425146,1049.3773732739826,1088.606433957122,56690300,1080.760888671875,,,39989028.8,
2025-01-14,1068.9920654296875,1068.9920654296875,1054.2811654467102,1064.0884321020285,28695247,1072.9150634765624,,,35976340.6,
2025-01-15,1044.473876953125,1064.0884098536533,1044.473876953125,1064.0884098536533,35489482,1065.0692138671875,1071.93427734375,,34031953.2,
2025-01-16,1083.703125,1093.5103930995476,1068.992222850679,1073.8958569004526,47542962,1066.0499267578125,1075.8572021484374,,38087902.6,
2025-01-17,1098.413818359375,1103.3174514770508,1073.895652770996,1103.3174514770508,59214050,1069.9727783203125,1080.2704833984376,,45526408.2,
2025-01-20,1098.413818359375,1113.1247177124023,1098.413818359375,1103.3174514770508,29834528,1078.7993408203124,1079.7801147460937,,40155253.8,
2025-01-21,1098.413818359375,1103.3174514770508,1088.6065521240234,1093.5101852416992,21904213,1084.68369140625,1078.7993774414062,,38797047.0,
2025-01-22,1113.124755859375,1127.8356557165473,1113.124755859375,1118.028389145099,42960405,1098.4138671875,1081.7415405273437,,40291231.6,
2025-02-03,1049.3775634765625,1054.281196950752,1039.5702965281837,1044.473930002373,97946226,1091.5487548828125,1078.7993408203124,,50371884.4,
2025-02-04,1073.8956298828125,1078.799262895976,1059.184730843322,1064.0883638564856,53308108,1086.6451171875,1078.3089477539063,,49190696.0,
2025-02-05,1088.6064453125,1098.4137105855857,1083.7028126759571,1088.6064453125,40385340,1084.683642578125,1081.7414916992188,,51300858.4,
2025-02-06,1093.5101318359375,1098.4137647141256,1083.702866079561,1098.4137647141256,29971252,1083.7029052734374,1084.1932983398438,,52914266.2,
2025-02-07,1103.3175048828125,1103.3175048828125,1083.7029714626735,1088.6066048177083,27883220,1081.741455078125,1090.0776611328124,1081.0059692382813,49898829.2,42898107.85
2025-02-10,1083.703125,1103.317661199095,1073.8958569004526,1103.317661199095,28527108,1088.6065673828125,1090.0776611328124,1082.967431640625,36015005.6,42165608.35
2025-02-11,1088.6064453125,1093.5100779490429,1078.7991800394143,1088.6064453125,18898928,1091.54873046875,1089.096923828125,1084.6837036132813,29133169.6,41589799.95
2025-02-12,1078.799560546875,1093.5104636452415,1078.799560546875,1088.6068292791194,24172954,1089.587353515625,1087.135498046875,1083.4578063964843,25890692.4,39333958.35
2025-02-13,1068.9920654296875,1073.8956987573467,1059.1847987743693,1068.9920654296875,33210403,1084.683740234375,1084.1933227539062,1081.4963500976562,26538522.6,38556544.1
2025-02-14,1039.5703125,1049.3775795990566,1039.5703125,1044.4739460495282,64486940,1071.9343017578126,1076.8378784179688,1079.2897094726563,33859266.6,39520320.15
2025-02-17,1064.0885009765625,1064.0885009765625,1044.4739663963494,1044.4739663963494,35491271,1068.011376953125,1078.3089721679687,1078.5541564941407,35252099.2,39931722.95
2025-02-18,1078.799560546875,1078.799560546875,1059.1850230823864,1064.0886574485085,21616188,1066.05,1078.799365234375,1078.5541564941407,35795551.2,39911456.25
2025-02-19,1068.9920654296875,1073.8956987573467,1064.0884321020285,1068.9920654296875,26400293,1064.0885009765625,1076.8379272460938,1079.2897094726563,36241019.0,38396955.9
2025-02-20,1059.184814453125,1064.088447853371,1049.3775476526332,1059.184814453125,29643124,1062.12705078125,1073.4053955078125,1078.7993469238281,35527563.2,38444349.75
2025-02-21,1073.8956298828125,1073.8956298828125,1059.184730843322,1064.0883638564856,28972910,1068.9921142578125,1070.4632080078125,1080.2704345703125,28424757.2,38118521.15
2025-02-24,1054.281005859375,1064.0882710301598,1054.281005859375,1059.1846384447674,30822970,1067.030615234375,1067.52099609375,1078.7993286132812,27491097.0,37282521.55
2025-02-25,1034.666748046875,1039.5703819238745,1029.7631141698755,1034.666748046875,45158522,1058.204052734375,1062.1270263671875,1075.6119750976563,32199563.8,36579745.15
2025-02-26,1039.5703125,1039.5703125,1024.859411851415,1024.859411851415,36768449,1052.3197021484375,1058.2041015625,1072.6697998046875,34273195.0,36926441.2
