Stock_ID,Date,Close,Daily_Return_Pct
1101_TW,2000-07-21,4.425703525543213,10.52
1101_TW,2000-09-04,3.925406694412232,11.48
1101_TW,2000-10-02,3.0787503719329834,-11.11
1101_TW,2000-11-20,2.867085695266724,-11.83
1102_TW,2000-08-03,2.544213056564331,10.64
1102_TW,2005-09-29,4.509330749511719,17.6
1102_TW,2005-12-22,4.055637359619141,-15.8
1102_TW,2005-12-23,4.767356872558594,17.55
1102_TW,2005-12-26,4.0661725997924805,-14.71
1102_TW,2005-12-27,4.767356872558594,17.24
1102_TW,2006-05-18,5.203858852386475,-15.29
1102_TW,2006-05-22,6.045206069946289,13.86
1102_TW,2006-05-29,5.214390277862549,-14.27
1102_TW,2006-05-30,6.082065582275391,16.64
1102_TW,2006-07-26,4.908901691436768,-15.89
1102_TW,2006-07-28,5.873187065124512,19.13
1102_TW,2006-08-02,5.087979793548584,-13.55
1102_TW,2006-08-03,5.946908950805664,16.88
1102_TW,2006-11-23,8.799139976501465,15.49
1102_TW,2009-04-02,11.397902488708496,10.54
1103_TW,2009-04-02,8.414362907409668,13.7
1104_TW,2000-09-18,0.8799708485603333,-12.4
1104_TW,2000-11-20,0.7039765119552612,-11.11
1104_TW,2001-09-20,1.1477689743041992,11.67
1104_TW,2005-07-21,2.7444615364074707,11.4
1104_TW,2005-09-30,3.520853281021118,26.54
1104_TW,2006-07-28,3.4624807834625244,10.55
1104_TW,2006-08-03,3.513903856277466,10.54
1108_TW,2000-09-20,2.9069042205810547,11.13
1108_TW,2001-09-20,1.428274154663086,12.64
1108_TW,2002-02-01,1.9638768434524536,14.4
1108_TW,2007-04-16,6.838175296783447,14.04
1108_TW,2009-04-02,3.990670680999756,14.45
1109_TW,2000-10-23,5.5086445808410645,14.04
1109_TW,2015-10-30,6.952165126800537,-11.29
1110_TW,2000-10-23,4.63182544708252,13.39
1110_TW,2000-11-20,3.081450939178467,-11.3
1110_TW,2018-12-24,16.084293365478516,20.92
1201_TW,2000-02-21,13.848868370056152,13.75
1201_TW,2000-05-02,9.892049789428713,14.04
1201_TW,2000-08-07,7.7234086990356445,14.04
1201_TW,2001-03-15,7.951686382293701,13.59
1203_TW,2000-02-21,9.28429126739502,10.91
1203_TW,2000-08-21,6.062693595886231,-11.48
1203_TW,2000-10-23,3.4499008655548096,13.33
1203_TW,2002-07-08,1.4306939840316772,14.17
1203_TW,2002-08-26,2.9679293632507324,-12.69
1210_TW,2001-03-15,1.4794288873672483,11.73
1210_TW,2007-08-06,10.305633544921877,12.22
1210_TW,2009-04-02,7.798645496368408,14.12
1213_TW,2000-02-21,11.575547218322754,14.0
1213_TW,2002-08-22,10.811967849731444,17.01
1213_TW,2005-09-29,6.524038314819336,20.0
1213_TW,2006-10-16,11.853846549987791,10.74
1213_TW,2007-10-01,13.1365385055542,14.23
1213_TW,2011-10-03,16.453845977783203,14.11
1215_TW,2000-02-21,3.200165271759033,10.59
1215_TW,2000-09-18,1.6566004753112793,-12.59
1215_TW,2000-11-20,1.078193426132202,-13.12
1215_TW,2001-04-27,2.0075759887695312,-10.62
1217_TW,2000-02-21,12.007099151611328,13.97
1217_TW,2002-12-03,7.729185104370117,13.84
1218_TW,2000-11-20,1.8316293954849243,-13.27
1218_TW,2010-08-12,12.357423782348633,35.48
1219_TW,2000-02-21,4.329352378845215,14.2
1225_TW,2000-01-17,3.9842376708984375,13.45
1225_TW,2000-03-06,4.4269304275512695,-10.71
1225_TW,2000-08-07,3.748134613037109,-13.01
1225_TW,2000-09-04,3.098851203918457,14.13
1225_TW,2000-10-09,2.715183973312378,13.3
1225_TW,2000-11-15,1.829797983169556,-13.17
1225_TW,2000-11-22,2.2429776191711426,13.77
1225_TW,2007-04-16,5.359537601470947,14.36
1225_TW,2009-01-12,4.62177038192749,11.58
1229_TW,2000-07-31,1.6575206518173218,11.11
1229_TW,2000-09-04,1.4662681818008425,14.43
1229_TW,2000-11-20,1.051888108253479,-13.16
1229_TW,2009-04-02,2.944594144821167,11.98
1231_TW,2000-10-09,4.487888336181641,13.31
1232_TW,2002-07-25,5.157421588897705,11.09
1233_TW,2000-02-21,4.7026143074035645,10.59
1233_TW,2000-06-21,4.505193710327148,12.57
1234_TW,2000-01-17,8.391462326049805,13.77
1234_TW,2013-11-12,21.499631881713867,-13.87
1235_TW,2005-09-29,2.378566265106201,24.08
1235_TW,2006-07-28,2.72369647026062,10.8
1235_TW,2007-07-23,3.843746900558472,-11.16
1235_TW,2016-09-12,8.541812896728516,19.55
1236_TW,2000-02-21,2.607490062713623,13.57
1236_TW,2000-03-06,2.8862786293029785,11.39
1236_TW,2001-09-20,1.2031103372573853,-40.76
1236_TW,2002-02-01,2.317917585372925,13.51
1240_TWO,2017-07-28,28.91123390197754,16.99
1259_TWO,2022-09-28,66.23141479492188,-11.14
1264_TWO,2014-10-31,114.46363067626952,11.43
1264_TWO,2017-07-03,123.37467193603516,-10.87
1264_TWO,2017-07-04,148.93701171875,20.72
1294_TWO,2022-10-03,29.56657791137696,22.33
1294_TWO,2022-10-05,36.34105682373047,11.44
1294_TWO,2022-10-06,48.3973274230957,33.18
1294_TWO,2022-10-07,42.02472686767578,-13.17
1294_TWO,2022-10-19,28.705415725708008,-13.64
1294_TWO,2023-03-09,33.011226654052734,12.97
1294_TWO,2023-07-05,66.88361358642578,11.48
1294_TWO,2023-07-12,68.63456726074219,-12.34
1294_TWO,2024-03-11,111.6144561767578,13.56
1294_TWO,2024-04-01,153.2616424560547,19.79
1294_TWO,2024-04-03,176.58407592773438,12.05
1294_TWO,2024-04-09,169.58734130859375,-10.86
1294_TWO,2024-04-17,150.26304626464844,12.47
1294_TWO,2024-09-26,110.02040100097656,-10.92
1295_TWO,2024-08-12,75.57035827636719,13.56
1295_TWO,2025-04-07,58.82608795166016,-16.89
1295_TWO,2025-05-29,78.3391342163086,15.35
