K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
11.綠K,09.-4~-2%,2.5~10%,48.5,48.81,48.65,48.91,48.56,6470
08.長上影線紅K,05.2~4%,2.5~10%,41.65,43.1,43.6,44.1,43.5,6373
07.紅K,07.0%,1.<5%,40.96,44.17,45.21,45.75,46.77,6010
04.十字線,09.-4~-2%,1.<5%,46.63,47.34,46.51,47.01,46.57,5913
09.實體綠K(大陰線),05.2~4%,1.<5%,38.88,41.22,42.93,42.71,43.58,5390
05.實體紅K(大陽線),02.8~10%,2.5~10%,54.93,53.59,56.81,56.23,56.96,5173
09.實體綠K(大陰線),11.-8~-6%,1.<5%,40.84,43.26,44.19,45.86,44.73,4989
06.長下影線紅K,05.2~4%,2.5~10%,40.1,41.63,42.9,43.41,43.84,4943
03.倒T字線,09.-4~-2%,1.<5%,48.52,49.48,48.78,46.08,48.1,4899
04.十字線,05.2~4%,1.<5%,44.81,46.7,47.89,49.02,48.76,4707
10.長下影線綠K,06.0~2%,2.5~10%,41.2,43.07,42.89,43.72,44.3,4236
08.長上影線紅K,08.-2~0%,2.5~10%,47.7,47.55,48.12,47.14,46.88,4125
01.一字線,04.4~6%,1.<5%,29.21,28.92,29.72,30.87,31.55,3690
09.實體綠K(大陰線),11.-8~-6%,3.10~15%,47.19,47.77,51.01,51.95,51.92,3624
09.實體綠K(大陰線),06.0~2%,2.5~10%,43.42,44.32,44.4,45.21,45.0,3610
01.一字線,10.-6~-4%,1.<5%,52.84,55.75,56.63,56.33,55.62,3500
07.紅K,05.2~4%,2.5~10%,40.33,41.54,43.01,43.83,44.54,3476
11.綠K,08.-2~0%,2.5~10%,44.91,47.6,48.68,46.72,45.71,3281
12.長上影線綠K,06.0~2%,2.5~10%,44.93,45.73,45.92,45.4,45.18,3266
01.一字線,12.-10~-8%,1.<5%,21.67,21.07,28.88,32.2,37.61,3179
02.T字線,05.2~4%,1.<5%,32.55,36.53,39.15,40.28,42.08,3014
01.一字線,02.8~10%,1.<5%,67.27,63.29,62.75,60.88,59.43,2930
12.長上影線綠K,10.-6~-4%,2.5~10%,52.06,52.01,52.51,52.1,51.0,2918
05.實體紅K(大陽線),07.0%,2.5~10%,39.21,41.7,42.09,43.45,43.91,2887
06.長下影線紅K,08.-2~0%,2.5~10%,39.91,40.64,42.85,44.15,45.36,2859
09.實體綠K(大陰線),12.-10~-8%,2.5~10%,49.51,50.73,49.93,51.94,54.55,2758
12.長上影線綠K,10.-6~-4%,1.<5%,51.86,51.48,49.91,48.82,48.12,2661
12.長上影線綠K,05.2~4%,1.<5%,48.42,51.75,53.16,53.08,52.75,2568
08.長上影線紅K,09.-4~-2%,2.5~10%,53.71,52.75,52.38,52.62,51.86,2564
06.長下影線紅K,09.-4~-2%,1.<5%,44.73,46.33,49.0,48.86,48.7,2551
03.倒T字線,11.-8~-6%,1.<5%,28.11,30.9,35.46,38.97,42.05,2366
09.實體綠K(大陰線),12.-10~-8%,3.10~15%,52.92,51.11,51.26,52.67,52.33,2360
05.實體紅K(大陽線),09.-4~-2%,2.5~10%,48.55,50.31,51.17,50.48,51.08,2272
10.長下影線綠K,07.0%,2.5~10%,40.76,40.73,41.44,41.92,41.92,2170
09.實體綠K(大陰線),10.-6~-4%,3.10~15%,50.07,49.88,51.54,52.53,51.71,2084
12.長上影線綠K,11.-8~-6%,1.<5%,36.64,40.68,43.65,45.35,45.08,2055
12.長上影線綠K,11.-8~-6%,2.5~10%,45.19,49.05,50.63,51.73,53.43,1996
05.實體紅K(大陽線),02.8~10%,1.<5%,48.47,47.41,50.2,48.48,48.25,1989
08.長上影線紅K,10.-6~-4%,1.<5%,53.78,51.89,51.52,52.63,51.68,1905
05.實體紅K(大陽線),10.-6~-4%,1.<5%,53.7,53.91,55.1,53.58,52.73,1903
04.十字線,08.-2~0%,2.5~10%,40.97,42.32,40.51,43.6,44.69,1877
06.長下影線紅K,03.6~8%,1.<5%,62.95,62.07,64.16,61.02,58.16,1819
11.綠K,10.-6~-4%,2.5~10%,52.78,51.9,50.47,51.3,52.4,1817
07.紅K,06.0~2%,2.5~10%,41.27,42.46,44.42,45.56,46.2,1798
09.實體綠K(大陰線),07.0%,2.5~10%,40.78,43.17,44.23,44.31,44.0,1796
06.長下影線紅K,04.4~6%,1.<5%,42.4,43.74,47.43,48.72,47.26,1790
04.十字線,06.0~2%,2.5~10%,40.18,42.73,44.38,43.58,43.0,1762
08.長上影線紅K,10.-6~-4%,2.5~10%,54.91,55.34,54.48,54.63,55.12,1741
02.T字線,03.6~8%,1.<5%,66.61,61.27,60.79,60.74,58.07,1686
05.實體紅K(大陽線),03.6~8%,3.10~15%,47.55,45.58,43.57,44.47,42.43,1675
04.十字線,07.0%,2.5~10%,40.99,42.1,42.43,44.2,43.28,1632
08.長上影線紅K,07.0%,2.5~10%,46.78,47.1,49.01,48.69,46.14,1567
12.長上影線綠K,07.0%,2.5~10%,42.05,41.8,42.15,42.42,43.45,1448
10.長下影線綠K,05.2~4%,2.5~10%,36.68,38.13,40.32,38.85,39.06,1434
06.長下影線紅K,04.4~6%,2.5~10%,41.28,42.3,43.18,43.36,43.16,1364
06.長下影線紅K,07.0%,2.5~10%,39.26,39.79,39.55,39.7,41.06,1327
04.十字線,09.-4~-2%,2.5~10%,43.71,46.89,46.78,45.41,46.47,1320
05.實體紅K(大陽線),04.4~6%,3.10~15%,36.6,38.04,38.12,39.52,39.39,1246
07.紅K,04.4~6%,2.5~10%,41.28,41.97,43.25,42.99,43.07,1176
09.實體綠K(大陰線),04.4~6%,1.<5%,33.3,35.34,38.09,37.41,35.82,1129
02.T字線,09.-4~-2%,1.<5%,40.16,43.02,42.04,42.67,44.49,1118
08.長上影線紅K,04.4~6%,1.<5%,45.86,50.71,52.55,54.67,53.4,1062
10.長下影線綠K,10.-6~-4%,1.<5%,48.85,48.66,49.67,50.81,47.99,1048
09.實體綠K(大陰線),05.2~4%,2.5~10%,37.3,38.24,38.84,38.08,37.51,1001
10.長下影線綠K,04.4~6%,1.<5%,37.01,42.77,47.19,49.15,46.98,997
10.長下影線綠K,10.-6~-4%,2.5~10%,48.37,47.65,49.39,48.16,50.36,981
08.長上影線紅K,04.4~6%,2.5~10%,44.09,46.28,48.58,48.36,49.34,914
09.實體綠K(大陰線),12.-10~-8%,1.<5%,49.12,50.77,51.49,55.01,54.3,910
05.實體紅K(大陽線),02.8~10%,3.10~15%,50.87,46.75,47.85,47.03,45.97,863
07.紅K,04.4~6%,1.<5%,43.06,48.56,50.36,52.75,52.63,836
09.實體綠K(大陰線),09.-4~-2%,3.10~15%,46.17,47.81,47.5,49.57,48.36,824
05.實體紅K(大陽線),05.2~4%,3.10~15%,39.82,41.62,42.78,42.27,40.85,776
11.綠K,10.-6~-4%,1.<5%,49.48,47.91,50.65,48.69,48.3,766
07.紅K,09.-4~-2%,1.<5%,42.41,42.54,45.68,46.99,45.03,764
11.綠K,05.2~4%,1.<5%,49.01,51.52,52.85,52.85,51.92,755
03.倒T字線,10.-6~-4%,1.<5%,55.53,55.8,56.34,55.66,57.03,733
01.一字線,13.<-10%,1.<5%,30.71,32.78,36.75,38.28,42.3,723
04.十字線,10.-6~-4%,1.<5%,50.72,49.28,50.29,51.3,49.42,692
02.T字線,04.4~6%,1.<5%,29.72,32.8,36.02,37.54,38.86,683
04.十字線,05.2~4%,2.5~10%,45.17,41.01,45.02,43.98,45.31,673
06.長下影線紅K,09.-4~-2%,2.5~10%,44.13,47.99,49.18,50.97,50.6,673
01.一字線,01.>10%,1.<5%,60.69,56.37,56.07,52.02,51.87,670
06.長下影線紅K,03.6~8%,2.5~10%,55.57,52.17,54.49,54.42,53.33,646
04.十字線,10.-6~-4%,2.5~10%,49.29,46.59,47.7,46.59,48.18,631
03.倒T字線,11.-8~-6%,2.5~10%,43.9,44.72,47.32,48.78,47.64,615
08.長上影線紅K,11.-8~-6%,1.<5%,54.92,48.98,52.2,54.75,53.22,590
