K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
12.長上影線綠K,05.2~4%,1.<5%,41.25,44.23,45.56,44.9,44.49,3326
03.倒T字線,06.0~2%,1.<5%,46.81,49.58,50.83,50.5,51.59,3307
02.T字線,08.-2~0%,1.<5%,32.68,38.4,39.36,41.51,42.02,3268
06.長下影線紅K,06.0~2%,2.5~10%,33.27,35.88,36.72,37.66,38.93,3237
05.實體紅K(大陽線),06.0~2%,2.5~10%,36.93,40.16,41.8,42.4,42.03,3198
11.綠K,06.0~2%,1.<5%,45.9,48.12,49.72,48.94,48.82,3062
05.實體紅K(大陽線),03.6~8%,3.10~15%,46.91,45.85,43.97,43.8,43.82,3014
05.實體紅K(大陽線),08.-2~0%,2.5~10%,34.3,38.81,41.55,43.08,43.59,2887
10.長下影線綠K,05.2~4%,1.<5%,39.79,43.34,43.23,43.48,43.51,2787
12.長上影線綠K,09.-4~-2%,2.5~10%,47.22,49.52,48.72,48.38,48.25,2631
06.長下影線紅K,03.6~8%,1.<5%,55.88,52.68,53.71,52.11,51.24,2629
05.實體紅K(大陽線),01.>10%,2.5~10%,56.92,51.6,50.56,48.54,47.4,2603
05.實體紅K(大陽線),09.-4~-2%,1.<5%,43.66,46.39,48.28,47.85,48.95,2533
09.實體綠K(大陰線),10.-6~-4%,3.10~15%,48.39,49.33,49.33,49.8,49.04,2454
08.長上影線紅K,04.4~6%,1.<5%,38.01,42.05,44.61,44.32,45.15,2387
09.實體綠K(大陰線),05.2~4%,2.5~10%,35.41,38.05,38.48,39.15,39.3,2309
01.一字線,06.0~2%,1.<5%,39.83,43.34,44.52,45.09,45.42,2109
12.長上影線綠K,05.2~4%,2.5~10%,41.17,43.22,43.41,41.52,40.88,2071
01.一字線,08.-2~0%,1.<5%,38.38,41.02,42.68,44.92,44.65,2049
04.十字線,09.-4~-2%,1.<5%,43.48,45.89,46.34,45.84,47.42,2033
11.綠K,09.-4~-2%,1.<5%,46.66,46.21,46.04,46.8,48.09,2019
10.長下影線綠K,06.0~2%,2.5~10%,36.34,40.06,39.51,40.17,40.04,1984
08.長上影線紅K,09.-4~-2%,1.<5%,52.64,52.3,52.62,53.24,51.83,1913
11.綠K,09.-4~-2%,2.5~10%,46.62,49.1,47.73,48.86,49.29,1893
06.長下影線紅K,04.4~6%,2.5~10%,39.27,40.83,42.49,40.94,42.04,1859
12.長上影線綠K,07.0%,2.5~10%,41.87,42.49,43.3,44.22,44.3,1844
01.一字線,02.8~10%,1.<5%,74.69,68.13,66.63,62.54,62.43,1765
06.長下影線紅K,03.6~8%,2.5~10%,51.18,49.23,48.94,46.69,47.75,1693
04.十字線,06.0~2%,2.5~10%,43.45,44.38,44.62,44.18,42.89,1628
09.實體綠K(大陰線),09.-4~-2%,3.10~15%,45.44,47.11,45.07,45.65,45.46,1615
03.倒T字線,11.-8~-6%,1.<5%,28.94,29.96,36.43,43.53,46.22,1562
06.長下影線紅K,04.4~6%,1.<5%,38.5,43.14,44.67,44.64,46.1,1504
10.長下影線綠K,04.4~6%,1.<5%,35.34,40.35,41.84,43.83,41.93,1477
09.實體綠K(大陰線),04.4~6%,1.<5%,33.65,38.57,40.2,41.6,40.78,1465
09.實體綠K(大陰線),07.0%,2.5~10%,36.71,40.44,41.06,42.17,42.65,1450
06.長下影線紅K,08.-2~0%,2.5~10%,33.17,36.66,36.33,38.8,39.44,1435
