N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
紅K -> 十字 -> 紅K,03.20~25%,654,57.95,52.75,52.14,52.29,52.91
十字 -> 紅K -> 紅K,01.>30%,261,57.85,50.57,47.51,48.28,46.74
十字 -> 紅K -> 十字,01.>30%,64,57.81,51.56,50.0,64.06,53.12
十字 -> 紅K -> 紅K,03.20~25%,561,57.75,53.65,54.72,53.12,52.94
十字 -> 綠K -> 綠K,12.-20~-15%,485,57.73,63.3,68.04,67.63,65.77
十字 -> 綠K -> 綠K,00.未知,33,57.58,51.52,57.58,54.55,57.58
綠K -> 綠K -> 十字,06.5~10%,657,57.38,53.73,54.79,53.73,54.79
十字 -> 十字 -> 綠K,13.-25~-20%,51,56.86,49.02,56.86,56.86,58.82
十字 -> 十字 -> 紅K,13.-25~-20%,37,56.76,48.65,64.86,48.65,59.46
十字 -> 紅K -> 十字,11.-15~-10%,104,56.73,51.92,64.42,63.46,58.65
綠K -> 綠K -> 綠K,12.-20~-15%,7659,56.69,56.43,57.2,59.46,59.58
紅K -> 綠K -> 綠K,12.-20~-15%,1109,56.45,55.82,56.27,56.9,58.79
十字 -> 綠K -> 紅K,03.20~25%,157,56.05,49.68,52.87,47.13,48.41
十字 -> 紅K -> 紅K,02.25~30%,143,55.94,46.15,48.95,47.55,46.85
十字 -> 綠K -> 紅K,11.-15~-10%,624,55.77,57.85,65.06,64.26,63.62
紅K -> 十字 -> 十字,05.10~15%,259,55.6,56.76,54.44,53.67,53.28
十字 -> 紅K -> 紅K,15.<-30%,54,55.56,57.41,51.85,51.85,55.56
紅K -> 紅K -> 十字,11.-15~-10%,62,54.84,54.84,64.52,59.68,56.45
綠K -> 紅K -> 紅K,00.未知,130,54.62,56.92,58.46,55.38,64.62
十字 -> 紅K -> 綠K,15.<-30%,44,54.55,50.0,63.64,61.36,59.09
十字 -> 綠K -> 紅K,04.15~20%,488,54.3,50.41,50.82,47.34,48.57
紅K -> 綠K -> 紅K,03.20~25%,987,54.1,51.37,50.25,48.13,49.24
綠K -> 綠K -> 綠K,11.-15~-10%,30366,53.99,55.51,54.9,56.0,55.69
十字 -> 綠K -> 紅K,15.<-30%,52,53.85,48.08,44.23,46.15,48.08
十字 -> 紅K -> 十字,05.10~15%,253,53.75,52.57,56.13,52.57,51.38
紅K -> 綠K -> 十字,05.10~15%,610,53.61,57.05,56.23,56.23,56.23
紅K -> 綠K -> 紅K,11.-15~-10%,1188,53.54,53.62,58.0,57.24,60.77
綠K -> 紅K -> 十字,15.<-30%,58,53.45,60.34,62.07,58.62,62.07
紅K -> 紅K -> 十字,15.<-30%,45,53.33,55.56,53.33,48.89,44.44
綠K -> 綠K -> 十字,05.10~15%,152,53.29,46.71,42.76,48.03,51.97
十字 -> 十字 -> 十字,04.15~20%,218,52.75,51.38,50.0,48.62,46.33
十字 -> 綠K -> 十字,06.5~10%,216,52.31,52.31,50.46,50.46,49.54
綠K -> 綠K -> 綠K,13.-25~-20%,1190,52.18,51.26,51.51,57.65,61.6
紅K -> 綠K -> 十字,13.-25~-20%,46,52.17,47.83,47.83,47.83,54.35
十字 -> 綠K -> 十字,11.-15~-10%,391,52.17,61.13,69.31,67.77,69.05
綠K -> 紅K -> 十字,06.5~10%,2826,52.12,50.85,50.32,50.85,50.04
綠K -> 綠K -> 紅K,12.-20~-15%,1744,51.89,48.34,55.56,56.36,54.07
綠K -> 十字 -> 紅K,04.15~20%,174,51.72,48.85,45.4,52.3,49.43
綠K -> 十字 -> 紅K,01.>30%,118,51.69,50.85,52.54,45.76,43.22
紅K -> 綠K -> 綠K,00.未知,238,51.68,55.04,52.52,56.3,57.14
十字 -> 綠K -> 紅K,10.-10~-5%,2011,51.67,53.31,52.71,53.9,53.9
十字 -> 綠K -> 綠K,11.-15~-10%,1690,51.6,57.51,58.22,59.47,62.25
綠K -> 紅K -> 紅K,11.-15~-10%,983,51.58,52.09,53.71,54.93,54.02
綠K -> 綠K -> 紅K,11.-15~-10%,8487,51.58,51.8,55.06,55.08,55.4
綠K -> 綠K -> 綠K,00.未知,223,51.57,55.16,49.78,49.33,57.85
綠K -> 紅K -> 紅K,03.20~25%,1307,51.57,50.27,50.19,50.42,49.2
綠K -> 紅K -> 紅K,01.>30%,644,51.55,48.29,48.14,47.83,48.45
十字 -> 紅K -> 綠K,05.10~15%,1023,51.52,50.54,48.09,48.29,41.25
綠K -> 綠K -> 綠K,10.-10~-5%,123616,51.48,52.06,51.87,52.26,52.2
綠K -> 十字 -> 紅K,13.-25~-20%,70,51.43,55.71,54.29,58.57,48.57
十字 -> 綠K -> 綠K,10.-10~-5%,7402,51.36,52.76,53.46,53.17,54.51
十字 -> 十字 -> 十字,06.5~10%,850,51.29,49.41,46.47,46.71,46.12
紅K -> 紅K -> 紅K,01.>30%,1892,51.11,50.58,50.9,48.94,49.0
綠K -> 紅K -> 紅K,04.15~20%,3992,50.98,48.17,48.97,48.37,47.9
紅K -> 綠K -> 紅K,04.15~20%,3533,50.95,48.29,48.15,46.76,47.01
綠K -> 十字 -> 紅K,05.10~15%,611,50.74,50.41,53.52,49.59,50.25
紅K -> 紅K -> 紅K,12.-20~-15%,144,50.69,47.22,45.14,49.31,50.0
紅K -> 紅K -> 紅K,10.-10~-5%,785,50.57,51.46,55.67,52.74,54.9
綠K -> 紅K -> 綠K,14.-30~-25%,178,50.56,50.0,51.69,52.81,54.49
綠K -> 紅K -> 綠K,11.-15~-10%,6790,50.4,52.99,53.77,55.01,56.01
紅K -> 紅K -> 紅K,03.20~25%,5948,50.35,50.72,50.35,50.05,50.87
紅K -> 綠K -> 綠K,11.-15~-10%,6774,50.3,55.43,53.72,56.42,58.8
紅K -> 綠K -> 綠K,10.-10~-5%,34743,50.16,51.55,51.39,52.26,52.94
綠K -> 紅K -> 綠K,15.<-30%,379,50.13,48.28,52.51,51.72,57.26
十字 -> 十字 -> 十字,05.10~15%,399,50.13,49.62,48.37,48.62,46.12
十字 -> 十字 -> 綠K,02.25~30%,48,50.0,50.0,54.17,47.92,54.17
紅K -> 綠K -> 十字,04.15~20%,152,50.0,55.92,53.29,54.61,51.97
十字 -> 十字 -> 紅K,02.25~30%,68,50.0,57.35,55.88,51.47,45.59
紅K -> 十字 -> 紅K,04.15~20%,797,49.81,49.81,48.31,48.43,48.31
綠K -> 綠K -> 綠K,15.<-30%,491,49.69,54.79,55.4,55.4,58.66
紅K -> 綠K -> 紅K,10.-10~-5%,6555,49.6,51.56,53.5,53.88,55.04
綠K -> 紅K -> 紅K,14.-30~-25%,105,49.52,52.38,45.71,49.52,52.38
紅K -> 綠K -> 紅K,14.-30~-25%,93,49.46,52.69,56.99,58.06,54.84
十字 -> 紅K -> 綠K,10.-10~-5%,1804,49.33,52.83,54.05,56.37,55.71
綠K -> 紅K -> 紅K,13.-25~-20%,140,49.29,52.86,55.71,53.57,52.86
綠K -> 綠K -> 紅K,15.<-30%,447,49.22,51.01,51.9,55.48,54.59
紅K -> 紅K -> 綠K,13.-25~-20%,122,49.18,50.82,45.9,50.82,50.82
綠K -> 綠K -> 紅K,05.10~15%,2392,49.08,46.4,48.37,47.41,47.74
紅K -> 綠K -> 綠K,14.-30~-25%,157,49.04,49.04,45.22,48.41,56.69
綠K -> 綠K -> 紅K,04.15~20%,751,49.0,47.4,50.73,49.93,50.2
紅K -> 紅K -> 紅K,00.未知,145,48.97,49.66,53.1,53.1,49.66
十字 -> 綠K -> 綠K,03.20~25%,47,48.94,53.19,46.81,53.19,44.68
綠K -> 十字 -> 紅K,02.25~30%,45,48.89,40.0,42.22,37.78,40.0
紅K -> 綠K -> 紅K,02.25~30%,379,48.81,44.85,45.38,44.06,45.12
紅K -> 十字 -> 紅K,10.-10~-5%,486,48.77,54.32,58.44,59.05,61.32
十字 -> 紅K -> 紅K,10.-10~-5%,728,48.76,51.24,57.97,56.18,59.2
十字 -> 綠K -> 綠K,06.5~10%,1189,48.7,48.53,44.83,44.66,46.01
紅K -> 紅K -> 紅K,11.-15~-10%,228,48.68,50.88,51.32,54.82,51.75
綠K -> 紅K -> 綠K,10.-10~-5%,38634,48.64,51.14,51.11,52.04,52.25
十字 -> 綠K -> 紅K,01.>30%,105,48.57,43.81,47.62,45.71,41.9
綠K -> 紅K -> 紅K,10.-10~-5%,7415,48.56,50.16,52.31,52.96,53.99
十字 -> 紅K -> 綠K,04.15~20%,396,48.48,47.73,52.02,51.52,41.41
綠K -> 紅K -> 紅K,02.25~30%,361,48.48,46.54,51.8,53.19,52.91
紅K -> 紅K -> 綠K,11.-15~-10%,697,48.35,51.08,53.95,53.8,56.1
十字 -> 紅K -> 紅K,04.15~20%,959,48.28,47.34,49.01,47.97,44.73
十字 -> 紅K -> 紅K,11.-15~-10%,257,48.25,48.25,53.7,52.14,51.36
十字 -> 紅K -> 綠K,11.-15~-10%,751,48.2,53.0,60.72,60.85,61.12
紅K -> 綠K -> 綠K,03.20~25%,320,48.12,51.25,50.62,47.19,47.81
綠K -> 紅K -> 綠K,00.未知,175,48.0,49.71,48.0,45.71,49.71
十字 -> 紅K -> 紅K,05.10~15%,2600,47.96,47.62,47.27,47.65,45.58
紅K -> 綠K -> 綠K,01.>30%,418,47.85,49.76,54.55,53.59,50.72
十字 -> 綠K -> 綠K,04.15~20%,109,47.71,51.38,44.95,44.95,39.45
紅K -> 紅K -> 十字,05.10~15%,2157,47.71,49.65,48.96,49.24,47.66
綠K -> 十字 -> 綠K,10.-10~-5%,7323,47.66,49.65,49.61,50.27,49.91
綠K -> 紅K -> 紅K,15.<-30%,294,47.62,50.68,54.76,56.12,53.4
綠K -> 紅K -> 紅K,05.10~15%,15110,47.49,47.6,48.21,47.51,47.05
綠K -> 十字 -> 紅K,10.-10~-5%,2074,47.35,52.51,51.64,54.1,52.31
十字 -> 綠K -> 紅K,06.5~10%,3524,47.33,44.89,45.29,44.35,44.18
十字 -> 綠K -> 十字,05.10~15%,74,47.3,44.59,44.59,37.84,45.95
紅K -> 綠K -> 紅K,05.10~15%,14038,47.29,46.47,46.54,45.78,46.07
十字 -> 紅K -> 十字,12.-20~-15%,55,47.27,36.36,52.73,56.36,54.55
紅K -> 紅K -> 紅K,14.-30~-25%,53,47.17,54.72,54.72,56.6,54.72
綠K -> 綠K -> 紅K,10.-10~-5%,44417,47.16,48.71,50.78,51.28,51.77
十字 -> 綠K -> 紅K,05.10~15%,1107,47.15,46.16,43.9,41.92,41.46
綠K -> 綠K -> 紅K,01.>30%,490,47.14,45.31,49.39,46.12,44.29
綠K -> 綠K -> 綠K,09.-5~0%,332619,47.07,49.04,49.78,50.09,50.35
紅K -> 紅K -> 紅K,02.25~30%,1808,47.07,47.46,48.01,46.9,48.29
紅K -> 綠K -> 綠K,09.-5~0%,201093,46.9,48.8,49.64,49.9,50.46
紅K -> 綠K -> 綠K,06.5~10%,18693,46.87,46.57,46.73,46.47,46.77
綠K -> 綠K -> 綠K,02.25~30%,175,46.86,52.0,47.43,50.86,51.43
紅K -> 綠K -> 紅K,12.-20~-15%,314,46.82,43.31,46.5,49.68,50.0
紅K -> 十字 -> 綠K,15.<-30%,47,46.81,46.81,53.19,55.32,44.68
紅K -> 綠K -> 十字,06.5~10%,2983,46.8,45.99,46.43,46.7,47.0
紅K -> 十字 -> 綠K,13.-25~-20%,30,46.67,36.67,56.67,56.67,66.67
綠K -> 綠K -> 紅K,02.25~30%,225,46.67,49.78,52.0,52.89,52.0
綠K -> 綠K -> 十字,07.0~5%,9092,46.59,47.73,48.54,49.13,49.55
紅K -> 十字 -> 紅K,02.25~30%,116,46.55,53.45,56.9,55.17,56.9
綠K -> 綠K -> 紅K,00.未知,185,46.49,55.68,49.19,51.89,56.76
紅K -> 綠K -> 綠K,05.10~15%,2754,46.48,48.0,46.55,46.04,47.68
綠K -> 綠K -> 綠K,14.-30~-25%,353,46.46,47.31,47.88,51.27,54.96
綠K -> 綠K -> 紅K,14.-30~-25%,166,46.39,53.01,56.02,57.83,60.84
綠K -> 十字 -> 紅K,11.-15~-10%,932,46.35,52.25,52.79,60.62,61.7
綠K -> 綠K -> 紅K,06.5~10%,16604,46.34,46.15,46.33,46.52,46.25
綠K -> 綠K -> 十字,10.-10~-5%,7295,46.29,47.5,48.66,48.99,49.81
紅K -> 綠K -> 紅K,09.-5~0%,59741,46.28,48.09,49.19,49.58,50.28
綠K -> 十字 -> 綠K,11.-15~-10%,1554,46.01,54.12,54.18,57.27,60.23
紅K -> 紅K -> 綠K,05.10~15%,16461,46.0,47.12,46.56,46.46,46.49
綠K -> 綠K -> 綠K,08.0%,8898,45.99,48.34,48.3,49.39,49.4
紅K -> 綠K -> 綠K,07.0~5%,156097,45.99,47.37,47.73,47.92,48.27
綠K -> 綠K -> 綠K,07.0~5%,35272,45.99,47.22,47.78,48.48,49.33
紅K -> 綠K -> 十字,02.25~30%,37,45.95,40.54,45.95,40.54,48.65
紅K -> 紅K -> 綠K,10.-10~-5%,5041,45.94,49.38,51.78,52.73,53.2
紅K -> 綠K -> 綠K,13.-25~-20%,279,45.88,44.09,47.31,51.97,55.56
綠K -> 紅K -> 十字,11.-15~-10%,375,45.87,51.2,53.6,55.47,54.4
綠K -> 綠K -> 紅K,03.20~25%,375,45.87,46.13,46.13,47.2,46.4
十字 -> 綠K -> 綠K,07.0~5%,9631,45.8,48.04,48.01,49.01,49.05
十字 -> 綠K -> 綠K,09.-5~0%,42924,45.79,48.46,49.3,49.95,50.66
紅K -> 紅K -> 紅K,04.15~20%,13335,45.78,46.52,47.95,47.16,48.2
紅K -> 紅K -> 綠K,09.-5~0%,52951,45.76,47.49,48.85,49.6,49.8
紅K -> 十字 -> 綠K,10.-10~-5%,1463,45.73,49.69,50.99,50.58,51.26
綠K -> 綠K -> 十字,09.-5~0%,45538,45.64,47.88,48.63,49.53,49.91
綠K -> 十字 -> 紅K,06.5~10%,3308,45.62,48.13,47.76,47.16,46.43
十字 -> 綠K -> 綠K,15.<-30%,57,45.61,52.63,52.63,47.37,47.37
紅K -> 綠K -> 綠K,15.<-30%,353,45.61,47.59,49.29,52.97,55.52
綠K -> 綠K -> 綠K,03.20~25%,237,45.57,48.95,43.04,47.26,48.1
綠K -> 紅K -> 綠K,02.25~30%,211,45.5,48.34,49.76,49.76,50.24
十字 -> 綠K -> 紅K,02.25~30%,66,45.45,45.45,45.45,53.03,59.09
綠K -> 紅K -> 綠K,09.-5~0%,219437,45.41,47.63,48.62,49.3,49.52
紅K -> 十字 -> 紅K,05.10~15%,1951,45.36,46.85,47.51,46.75,47.1
綠K -> 綠K -> 綠K,06.5~10%,2137,45.25,46.51,45.95,46.47,48.71
十字 -> 十字 -> 十字,07.0~5%,4906,45.23,46.68,48.08,49.51,50.92
十字 -> 十字 -> 綠K,04.15~20%,451,45.23,49.22,48.78,47.67,46.34
十字 -> 十字 -> 紅K,06.5~10%,868,45.16,43.55,44.01,44.35,44.82
十字 -> 紅K -> 綠K,03.20~25%,184,45.11,48.37,47.83,45.65,41.3
紅K -> 紅K -> 綠K,04.15~20%,4509,44.98,46.95,46.73,46.73,46.82
紅K -> 紅K -> 紅K,09.-5~0%,8473,44.97,47.69,48.94,50.21,50.5
紅K -> 綠K -> 紅K,13.-25~-20%,158,44.94,48.1,45.57,47.47,48.1
十字 -> 十字 -> 紅K,05.10~15%,256,44.92,44.92,43.75,41.41,44.14
紅K -> 綠K -> 綠K,08.0%,18578,44.91,47.51,48.62,48.37,48.98
綠K -> 綠K -> 紅K,09.-5~0%,216429,44.82,46.84,48.29,49.15,49.75
紅K -> 紅K -> 綠K,06.5~10%,55227,44.81,45.97,46.02,46.14,46.47
綠K -> 十字 -> 綠K,01.>30%,67,44.78,44.78,46.27,40.3,41.79
紅K -> 綠K -> 十字,09.-5~0%,16173,44.77,47.2,48.45,48.93,49.47
綠K -> 紅K -> 紅K,12.-20~-15%,275,44.73,45.82,52.36,50.55,53.09
綠K -> 十字 -> 紅K,15.<-30%,56,44.64,51.79,55.36,64.29,67.86
十字 -> 綠K -> 綠K,08.0%,2913,44.56,47.37,48.71,49.12,49.5
綠K -> 綠K -> 綠K,01.>30%,330,44.55,50.61,48.79,50.91,50.3
紅K -> 綠K -> 紅K,06.5~10%,52132,44.55,44.68,44.86,44.96,45.38
紅K -> 紅K -> 綠K,03.20~25%,1528,44.5,47.84,46.6,45.55,46.99
綠K -> 十字 -> 綠K,08.0%,2952,44.48,45.87,47.83,48.58,49.83
綠K -> 紅K -> 綠K,13.-25~-20%,369,44.44,43.9,47.43,52.85,53.12
綠K -> 紅K -> 十字,09.-5~0%,18463,44.44,46.88,47.81,49.33,48.92
十字 -> 十字 -> 綠K,06.5~10%,612,44.44,44.77,45.92,45.26,43.46
紅K -> 十字 -> 綠K,06.5~10%,3094,44.41,45.67,45.02,44.51,45.09
紅K -> 十字 -> 綠K,04.15~20%,741,44.4,50.47,49.53,47.23,46.83
綠K -> 綠K -> 紅K,13.-25~-20%,374,44.39,40.64,48.66,53.74,54.01
綠K -> 十字 -> 綠K,09.-5~0%,45748,44.37,47.54,48.42,49.01,49.27
紅K -> 十字 -> 綠K,07.0~5%,22553,44.3,47.24,48.24,48.68,49.21
紅K -> 綠K -> 十字,07.0~5%,26799,44.27,46.07,47.26,47.68,47.96
十字 -> 紅K -> 綠K,06.5~10%,3607,44.25,45.77,45.94,44.8,44.94
紅K -> 綠K -> 紅K,07.0~5%,175013,44.24,45.9,46.84,47.15,47.81
紅K -> 紅K -> 綠K,07.0~5%,171013,44.22,46.01,47.01,47.15,47.66
紅K -> 十字 -> 綠K,09.-5~0%,15402,44.21,47.6,49.0,49.54,49.64
綠K -> 紅K -> 十字,13.-25~-20%,43,44.19,53.49,44.19,55.81,67.44
綠K -> 紅K -> 綠K,03.20~25%,378,44.18,44.97,45.77,48.68,46.56
綠K -> 綠K -> 十字,04.15~20%,77,44.16,48.05,46.75,42.86,42.86
紅K -> 紅K -> 紅K,07.0~5%,95600,44.15,46.37,47.51,48.41,48.9
綠K -> 綠K -> 綠K,05.10~15%,883,44.05,45.98,47.23,48.7,49.38
綠K -> 紅K -> 紅K,09.-5~0%,67354,44.03,47.15,48.57,49.56,50.21
紅K -> 十字 -> 十字,06.5~10%,616,43.99,50.0,50.0,47.24,44.81
十字 -> 綠K -> 十字,09.-5~0%,6655,43.97,46.63,47.27,47.62,49.02
十字 -> 綠K -> 紅K,09.-5~0%,16664,43.96,47.36,48.45,49.34,49.79
紅K -> 綠K -> 綠K,04.15~20%,767,43.94,46.68,47.46,46.68,48.5
紅K -> 綠K -> 紅K,00.未知,132,43.94,51.52,52.27,45.45,47.73
紅K -> 紅K -> 紅K,05.10~15%,27893,43.91,44.72,45.41,45.59,46.21
十字 -> 綠K -> 綠K,05.10~15%,392,43.88,44.13,44.9,47.45,45.15
紅K -> 紅K -> 紅K,15.<-30%,212,43.87,50.47,57.55,60.38,58.49
綠K -> 綠K -> 十字,08.0%,3349,43.71,45.89,46.25,46.7,47.54
十字 -> 綠K -> 十字,10.-10~-5%,674,43.62,42.28,44.07,45.25,47.33
紅K -> 十字 -> 綠K,08.0%,3175,43.59,46.8,47.72,48.6,49.26
綠K -> 綠K -> 綠K,04.15~20%,452,43.58,47.35,45.8,45.8,50.0
綠K -> 十字 -> 綠K,07.0~5%,8902,43.51,46.57,48.17,47.76,48.28
十字 -> 十字 -> 綠K,11.-15~-10%,297,43.43,53.2,62.96,64.65,69.36
紅K -> 綠K -> 十字,08.0%,4013,43.41,46.65,50.09,49.44,49.96
十字 -> 紅K -> 綠K,09.-5~0%,15512,43.41,46.54,47.82,48.75,49.24
綠K -> 紅K -> 綠K,08.0%,17720,43.4,45.87,46.93,47.57,47.68
綠K -> 紅K -> 綠K,12.-20~-15%,1293,43.39,47.25,51.43,54.29,55.84
十字 -> 紅K -> 十字,06.5~10%,740,43.38,47.97,45.41,42.7,42.57
紅K -> 紅K -> 綠K,08.0%,9107,43.35,45.96,47.37,47.6,48.71
十字 -> 十字 -> 綠K,08.0%,1359,43.34,44.44,46.58,47.9,47.61
綠K -> 紅K -> 紅K,06.5~10%,48649,43.34,44.48,45.02,45.25,45.29
綠K -> 十字 -> 十字,07.0~5%,3334,43.31,45.05,46.76,47.18,49.28
十字 -> 綠K -> 紅K,07.0~5%,23561,43.28,45.13,45.89,46.72,47.17
綠K -> 紅K -> 綠K,07.0~5%,142741,43.27,45.19,45.85,46.45,46.84
十字 -> 十字 -> 綠K,05.10~15%,527,43.26,46.87,47.06,45.35,45.54
綠K -> 紅K -> 十字,07.0~5%,21661,43.21,45.51,46.59,47.67,48.17
綠K -> 十字 -> 紅K,09.-5~0%,16740,43.16,45.48,47.56,48.52,48.79
紅K -> 十字 -> 紅K,09.-5~0%,2928,43.1,45.56,46.24,47.85,47.81
紅K -> 綠K -> 紅K,15.<-30%,281,43.06,53.02,54.8,58.72,59.43
十字 -> 十字 -> 綠K,07.0~5%,3287,43.05,45.91,47.82,48.43,49.1
綠K -> 綠K -> 十字,12.-20~-15%,1092,43.04,44.41,47.89,45.24,50.73
綠K -> 綠K -> 紅K,07.0~5%,130893,43.03,44.77,46.22,46.92,47.52
紅K -> 紅K -> 紅K,13.-25~-20%,93,43.01,47.31,46.24,49.46,51.61
綠K -> 綠K -> 十字,11.-15~-10%,2080,42.98,43.7,45.24,45.91,48.89
十字 -> 十字 -> 綠K,09.-5~0%,6896,42.97,45.66,47.84,48.78,49.97
紅K -> 綠K -> 紅K,08.0%,9532,42.92,46.1,47.24,47.77,47.79
十字 -> 十字 -> 十字,00.未知,91,42.86,47.25,46.15,48.35,58.24
十字 -> 綠K -> 綠K,01.>30%,84,42.86,51.19,50.0,53.57,50.0
紅K -> 綠K -> 紅K,01.>30%,619,42.81,45.4,44.75,45.56,45.4
綠K -> 十字 -> 十字,09.-5~0%,7677,42.79,45.73,46.52,47.51,48.04
紅K -> 十字 -> 紅K,06.5~10%,6444,42.78,44.09,44.41,44.55,45.38
綠K -> 紅K -> 紅K,07.0~5%,159721,42.71,45.08,46.32,47.04,47.45
十字 -> 紅K -> 綠K,02.25~30%,54,42.59,42.59,38.89,46.3,35.19
紅K -> 十字 -> 紅K,07.0~5%,22232,42.52,44.97,46.09,46.9,47.65
綠K -> 紅K -> 十字,10.-10~-5%,1844,42.46,46.1,47.02,49.13,47.89
十字 -> 紅K -> 紅K,07.0~5%,22311,42.41,45.17,45.97,46.82,47.49
十字 -> 十字 -> 紅K,10.-10~-5%,613,42.41,45.51,51.22,55.14,57.91
紅K -> 紅K -> 紅K,06.5~10%,60410,42.39,43.94,44.87,45.25,45.76
紅K -> 十字 -> 綠K,11.-15~-10%,328,42.38,49.39,56.71,58.54,61.28
綠K -> 紅K -> 綠K,01.>30%,453,42.38,45.47,47.46,47.68,47.24
紅K -> 紅K -> 綠K,12.-20~-15%,203,42.36,46.31,49.75,55.17,57.64
十字 -> 十字 -> 十字,09.-5~0%,4674,42.32,46.11,47.77,48.65,49.89
紅K -> 十字 -> 十字,07.0~5%,6008,42.28,45.21,47.3,47.79,48.69
十字 -> 紅K -> 綠K,07.0~5%,26149,42.27,45.06,46.21,46.62,47.16
紅K -> 紅K -> 十字,07.0~5%,21215,42.25,45.42,46.87,47.97,48.27
十字 -> 紅K -> 紅K,09.-5~0%,3232,42.2,46.16,47.59,48.98,49.97
綠K -> 綠K -> 紅K,08.0%,15860,42.16,44.88,46.78,47.82,48.6
十字 -> 紅K -> 紅K,06.5~10%,7216,42.13,44.01,44.11,44.57,44.84
紅K -> 紅K -> 十字,06.5~10%,5693,42.1,43.98,45.92,45.9,45.67
十字 -> 紅K -> 綠K,08.0%,3446,42.08,45.01,45.41,46.89,48.37
綠K -> 紅K -> 紅K,08.0%,9522,42.05,44.79,46.46,47.56,47.52
