N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
十字 -> 十字 -> 綠K,14.-30~-25%,229,91.27,90.39,92.14,91.7,89.96
十字 -> 紅K -> 綠K,13.-25~-20%,151,86.09,88.74,88.08,87.42,88.74
十字 -> 綠K -> 綠K,14.-30~-25%,126,84.92,80.16,82.54,84.92,84.13
綠K -> 十字 -> 十字,03.20~25%,63,79.37,73.02,66.67,60.32,57.14
十字 -> 十字 -> 十字,03.20~25%,1337,75.77,68.81,68.14,66.49,65.97
紅K -> 十字 -> 十字,02.25~30%,93,74.19,70.97,66.67,65.59,61.29
十字 -> 紅K -> 綠K,14.-30~-25%,47,72.34,72.34,74.47,72.34,78.72
紅K -> 十字 -> 十字,03.20~25%,1141,71.43,67.13,66.7,63.28,62.23
紅K -> 十字 -> 十字,01.>30%,330,71.21,64.55,63.94,60.0,59.39
綠K -> 十字 -> 十字,05.10~15%,264,71.21,67.8,66.67,67.05,64.77
十字 -> 綠K -> 紅K,12.-20~-15%,274,71.17,64.96,73.36,76.64,74.82
綠K -> 十字 -> 十字,04.15~20%,119,69.75,61.34,68.91,62.18,66.39
十字 -> 綠K -> 十字,13.-25~-20%,32,68.75,75.0,68.75,68.75,75.0
紅K -> 紅K -> 十字,03.20~25%,1139,67.87,63.65,64.71,62.69,61.9
紅K -> 十字 -> 十字,04.15~20%,261,67.82,67.05,68.2,63.98,63.6
綠K -> 紅K -> 十字,03.20~25%,192,67.71,64.06,60.42,58.85,54.69
十字 -> 紅K -> 十字,03.20~25%,157,67.52,64.97,57.32,58.6,57.32
十字 -> 綠K -> 十字,12.-20~-15%,255,66.67,71.37,72.94,73.73,71.76
紅K -> 綠K -> 十字,15.<-30%,38,65.79,55.26,60.53,60.53,55.26
十字 -> 十字 -> 十字,01.>30%,368,65.49,61.68,58.7,54.89,55.43
綠K -> 紅K -> 十字,01.>30%,104,65.38,67.31,62.5,60.58,62.5
紅K -> 紅K -> 十字,02.25~30%,173,65.32,62.43,63.01,61.27,59.54
紅K -> 紅K -> 十字,01.>30%,404,65.1,56.44,57.18,52.72,52.48
十字 -> 紅K -> 十字,04.15~20%,103,65.05,55.34,58.25,57.28,53.4
綠K -> 綠K -> 十字,03.20~25%,34,64.71,61.76,55.88,44.12,55.88
綠K -> 十字 -> 十字,01.>30%,50,64.0,50.0,48.0,50.0,50.0
綠K -> 紅K -> 十字,05.10~15%,1330,63.98,60.9,60.38,59.1,56.17
十字 -> 十字 -> 十字,14.-30~-25%,263,63.88,56.27,61.98,64.64,63.88
綠K -> 紅K -> 十字,04.15~20%,452,63.27,61.06,61.06,61.28,60.4
十字 -> 綠K -> 綠K,13.-25~-20%,121,62.81,58.68,59.5,64.46,62.81
綠K -> 紅K -> 十字,02.25~30%,43,62.79,62.79,60.47,51.16,55.81
十字 -> 紅K -> 綠K,12.-20~-15%,302,62.58,62.25,70.2,70.53,70.86
紅K -> 紅K -> 十字,12.-20~-15%,32,62.5,65.62,65.62,62.5,59.38
十字 -> 十字 -> 紅K,03.20~25%,442,62.22,61.76,61.31,56.11,55.88
紅K -> 十字 -> 紅K,01.>30%,282,62.06,56.03,57.45,53.55,51.42
十字 -> 十字 -> 紅K,01.>30%,173,61.85,60.69,53.76,53.18,53.18
綠K -> 十字 -> 十字,06.5~10%,247,60.73,63.56,60.73,61.94,62.75
紅K -> 紅K -> 十字,04.15~20%,1283,60.64,57.83,58.77,57.68,55.57
十字 -> 十字 -> 十字,02.25~30%,66,60.61,53.03,62.12,60.61,59.09
綠K -> 綠K -> 十字,01.>30%,81,60.49,59.26,58.02,56.79,50.62
紅K -> 綠K -> 十字,01.>30%,73,60.27,57.53,54.79,50.68,49.32
紅K -> 綠K -> 十字,03.20~25%,65,60.0,55.38,56.92,53.85,52.31
綠K -> 十字 -> 綠K,15.<-30%,51,58.82,58.82,47.06,47.06,50.98
