N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
十字 -> 紅K -> 紅K,04.15~20%,277,45.85,47.29,48.74,48.01,48.74
綠K -> 紅K -> 紅K,07.-10~0%,1383,45.7,48.01,49.31,51.55,52.28
紅K -> 十字 -> 綠K,07.-10~0%,680,45.59,48.82,49.41,50.15,51.47
紅K -> 紅K -> 綠K,04.15~20%,1169,45.51,48.42,46.71,44.57,43.54
十字 -> 紅K -> 紅K,07.-10~0%,252,45.24,46.43,51.19,55.16,55.56
十字 -> 紅K -> 紅K,05.10~15%,1085,45.16,44.06,43.69,43.04,42.67
十字 -> 紅K -> 十字,05.10~15%,71,45.07,36.62,35.21,36.62,39.44
紅K -> 綠K -> 綠K,06.0~10%,2395,45.05,46.43,44.26,44.34,44.97
紅K -> 紅K -> 紅K,05.10~15%,8019,44.87,45.42,45.99,44.89,44.44
綠K -> 紅K -> 綠K,07.-10~0%,5113,44.79,45.59,46.45,47.62,47.68
紅K -> 十字 -> 綠K,04.15~20%,442,44.57,51.36,50.9,45.93,47.06
十字 -> 十字 -> 綠K,07.-10~0%,364,44.51,45.6,45.6,47.53,50.27
十字 -> 十字 -> 綠K,04.15~20%,344,44.48,50.29,50.87,48.26,48.26
紅K -> 紅K -> 綠K,07.-10~0%,2342,44.24,46.54,47.4,48.04,49.87
十字 -> 十字 -> 綠K,03.20~25%,156,44.23,35.9,42.31,39.74,42.31
紅K -> 綠K -> 十字,06.0~10%,714,44.12,45.8,43.42,42.16,42.58
紅K -> 綠K -> 綠K,07.-10~0%,5757,44.07,47.79,47.99,49.71,50.17
十字 -> 十字 -> 十字,05.10~15%,75,44.0,49.33,48.0,46.67,48.0
十字 -> 綠K -> 綠K,07.-10~0%,1563,43.89,47.73,48.18,49.14,51.5
十字 -> 十字 -> 綠K,05.10~15%,257,43.58,47.47,48.25,42.8,44.36
綠K -> 十字 -> 十字,08.-15~-10%,62,43.55,40.32,33.87,56.45,59.68
紅K -> 紅K -> 綠K,03.20~25%,495,43.43,48.48,47.47,45.66,44.85
紅K -> 十字 -> 紅K,07.-10~0%,235,43.4,48.94,53.19,55.32,59.15
紅K -> 紅K -> 綠K,05.10~15%,2800,43.32,46.0,43.93,43.54,43.43
綠K -> 綠K -> 十字,06.0~10%,491,43.18,41.75,41.75,41.55,42.57
十字 -> 紅K -> 綠K,04.15~20%,58,43.1,41.38,51.72,44.83,48.28
十字 -> 綠K -> 綠K,08.-15~-10%,151,43.05,53.64,52.98,56.29,59.6
綠K -> 綠K -> 紅K,07.-10~0%,3810,42.86,44.38,45.2,46.51,47.32
十字 -> 綠K -> 十字,06.0~10%,112,42.86,41.96,41.96,46.43,47.32
十字 -> 綠K -> 紅K,07.-10~0%,487,42.51,48.05,46.2,49.69,50.51
十字 -> 紅K -> 綠K,05.10~15%,198,42.42,39.39,39.39,40.91,37.88
十字 -> 十字 -> 綠K,06.0~10%,307,42.35,39.74,43.0,43.97,42.02
紅K -> 十字 -> 綠K,06.0~10%,756,42.33,43.25,43.39,42.33,44.84
十字 -> 十字 -> 綠K,09.-20~-15%,76,42.11,47.37,61.84,65.79,69.74
綠K -> 十字 -> 綠K,08.-15~-10%,126,42.06,47.62,50.79,56.35,57.14
十字 -> 綠K -> 綠K,06.0~10%,269,42.01,44.98,40.52,41.26,45.72
紅K -> 綠K -> 紅K,06.0~10%,18384,41.9,42.55,42.97,42.61,42.85
紅K -> 十字 -> 十字,06.0~10%,263,41.83,46.01,53.61,47.53,47.15
紅K -> 紅K -> 紅K,07.-10~0%,462,41.56,44.37,48.27,52.16,51.73
紅K -> 十字 -> 紅K,06.0~10%,3287,41.5,41.28,42.38,42.56,43.54
紅K -> 綠K -> 紅K,07.-10~0%,1311,41.5,45.23,47.83,49.2,51.41
綠K -> 十字 -> 綠K,07.-10~0%,1267,41.44,43.8,43.73,45.94,47.36
綠K -> 綠K -> 紅K,06.0~10%,20038,41.41,41.72,42.94,42.92,42.97
紅K -> 紅K -> 紅K,06.0~10%,18081,41.28,42.46,43.6,43.46,43.74
紅K -> 十字 -> 綠K,05.10~15%,470,41.28,46.81,45.53,42.55,42.34
十字 -> 十字 -> 紅K,06.0~10%,1124,41.28,42.7,44.13,44.13,44.04
綠K -> 紅K -> 紅K,06.0~10%,31341,41.13,41.98,42.65,42.91,42.85
綠K -> 十字 -> 紅K,06.0~10%,4422,41.02,41.84,42.56,42.67,43.06
紅K -> 綠K -> 綠K,05.10~15%,66,40.91,43.94,37.88,42.42,37.88
紅K -> 綠K -> 十字,07.-10~0%,406,40.89,42.36,44.33,45.57,47.04
紅K -> 紅K -> 綠K,06.0~10%,8647,40.88,42.07,41.92,42.41,42.56
綠K -> 十字 -> 十字,06.0~10%,174,40.8,39.08,40.8,38.51,43.68
十字 -> 綠K -> 紅K,06.0~10%,3367,40.78,40.72,42.95,43.57,43.24
綠K -> 紅K -> 十字,06.0~10%,1499,40.69,41.23,41.23,42.09,41.03
十字 -> 十字 -> 紅K,05.10~15%,67,40.3,38.81,40.3,43.28,38.81
綠K -> 十字 -> 紅K,07.-10~0%,614,40.23,41.53,47.07,52.61,52.28
紅K -> 紅K -> 十字,07.-10~0%,182,40.11,39.01,46.15,42.86,40.11
綠K -> 十字 -> 紅K,08.-15~-10%,202,40.1,51.49,52.48,61.39,61.88
綠K -> 綠K -> 十字,08.-15~-10%,93,39.78,35.48,44.09,50.54,54.84
十字 -> 紅K -> 紅K,06.0~10%,4624,39.73,40.74,42.13,42.71,42.67
紅K -> 紅K -> 綠K,02.25~30%,96,39.58,44.79,52.08,47.92,41.67
紅K -> 十字 -> 紅K,02.25~30%,51,39.22,56.86,60.78,52.94,58.82
十字 -> 紅K -> 十字,06.0~10%,330,39.09,41.21,40.91,38.79,41.82
綠K -> 綠K -> 綠K,06.0~10%,1220,39.02,41.15,43.44,44.18,43.77
十字 -> 十字 -> 紅K,04.15~20%,72,38.89,45.83,51.39,47.22,47.22
十字 -> 十字 -> 十字,07.-10~0%,284,38.73,41.2,49.3,50.0,51.41
十字 -> 十字 -> 紅K,07.-10~0%,421,38.48,42.28,44.89,50.36,51.54
綠K -> 綠K -> 十字,07.-10~0%,823,38.27,40.1,42.41,44.23,43.01
十字 -> 紅K -> 綠K,06.0~10%,1397,38.22,41.3,41.66,42.52,42.09
紅K -> 十字 -> 綠K,03.20~25%,188,37.77,42.55,42.02,42.55,42.55
紅K -> 紅K -> 十字,06.0~10%,1079,37.72,40.32,41.15,40.69,42.17
綠K -> 紅K -> 綠K,06.0~10%,9172,37.57,39.78,39.66,39.99,40.51
十字 -> 紅K -> 十字,07.-10~0%,80,37.5,41.25,46.25,51.25,47.5
綠K -> 十字 -> 綠K,06.0~10%,497,37.02,44.27,43.46,42.25,40.24
綠K -> 紅K -> 十字,07.-10~0%,423,36.88,38.53,37.12,41.61,42.08
十字 -> 綠K -> 十字,07.-10~0%,174,36.78,43.68,39.08,40.8,45.4
綠K -> 十字 -> 綠K,05.10~15%,105,36.19,45.71,40.0,45.71,38.1
綠K -> 紅K -> 綠K,05.10~15%,877,35.46,40.14,40.25,41.05,39.79
十字 -> 十字 -> 綠K,08.-15~-10%,49,34.69,55.1,59.18,61.22,46.94
綠K -> 綠K -> 十字,09.-20~-15%,50,34.0,34.0,34.0,38.0,38.0
綠K -> 十字 -> 十字,07.-10~0%,231,33.77,36.36,38.1,39.83,40.26
紅K -> 十字 -> 綠K,02.25~30%,60,33.33,45.0,53.33,45.0,45.0
紅K -> 十字 -> 十字,07.-10~0%,106,32.08,33.96,36.79,41.51,44.34
綠K -> 十字 -> 紅K,09.-20~-15%,92,31.52,47.83,61.96,63.04,65.22
十字 -> 十字 -> 十字,09.-20~-15%,119,31.09,31.93,41.18,42.02,46.22
十字 -> 十字 -> 紅K,09.-20~-15%,158,30.38,36.08,47.47,44.3,48.1
十字 -> 十字 -> 紅K,08.-15~-10%,281,28.47,47.33,56.23,59.07,60.85
紅K -> 十字 -> 紅K,08.-15~-10%,71,28.17,57.75,64.79,73.24,83.1
十字 -> 紅K -> 綠K,03.20~25%,51,27.45,41.18,45.1,47.06,50.98
綠K -> 紅K -> 綠K,04.15~20%,109,26.61,32.11,36.7,40.37,36.7
綠K -> 十字 -> 十字,09.-20~-15%,61,24.59,31.15,45.9,49.18,60.66
綠K -> 十字 -> 綠K,09.-20~-15%,105,23.81,33.33,59.05,62.86,65.71
紅K -> 十字 -> 綠K,08.-15~-10%,38,23.68,44.74,47.37,52.63,57.89
紅K -> 十字 -> 綠K,09.-20~-15%,30,13.33,30.0,83.33,83.33,90.0
紅K -> 十字 -> 紅K,09.-20~-15%,40,5.0,47.5,87.5,92.5,97.5
