K線型態,漲跌幅等級,振幅等級,出現次數,T+1勝率(%),T+2勝率(%),T+3勝率(%),T+4勝率(%),T+5勝率(%)
6.長下影線紅K,05.2~4%,2.5~10%,7011,38.77,39.59,40.41,40.96,42.44
9.實體綠K(大陰線),06.0~2%,2.5~10%,6937,40.38,42.33,41.76,42.63,42.19
5.實體紅K(大陽線),09.-4~-2%,1.<5%,6868,45.2,45.86,48.65,47.73,48.39
9.實體綠K(大陰線),11.-8~-6%,3.10~15%,6842,49.67,51.58,53.93,55.69,54.07
11.一般綠K(紡錘線),07.0%,1.<5%,6819,44.51,47.4,49.0,49.6,50.18
5.實體紅K(大陽線),08.-2~0%,2.5~10%,6798,36.66,40.83,43.3,43.97,44.49
10.長下影線綠K,05.2~4%,1.<5%,6781,40.58,43.83,44.27,45.03,45.16
9.實體綠K(大陰線),11.-8~-6%,1.<5%,6668,43.39,45.49,48.2,49.55,49.45
12.長上影線綠K,09.-4~-2%,2.5~10%,6634,48.82,50.21,49.92,49.65,49.83
9.實體綠K(大陰線),12.-10~-8%,3.10~15%,6358,54.93,54.6,53.84,56.76,57.24
8.長上影線紅K,09.-4~-2%,1.<5%,6106,52.1,52.5,53.18,52.55,52.09
7.一般紅K(紡錘線),08.-2~0%,1.<5%,6032,40.1,43.04,44.28,45.12,45.5
12.長上影線綠K,05.2~4%,1.<5%,5782,43.68,46.64,47.51,46.35,46.19
2.T字線,03.6~8%,1.<5%,5765,58.7,54.14,53.46,51.9,51.85
7.一般紅K(紡錘線),04.4~6%,2.5~10%,5633,39.65,41.19,41.46,40.97,41.65
11.一般綠K(紡錘線),09.-4~-2%,2.5~10%,5626,47.96,50.51,50.63,50.87,51.34
5.實體紅K(大陽線),02.8~10%,3.10~15%,5327,52.72,48.64,47.58,45.86,45.4
4.十字線,09.-4~-2%,1.<5%,5220,44.71,46.69,46.79,46.97,47.03
5.實體紅K(大陽線),03.6~8%,3.10~15%,4820,45.62,44.97,43.03,43.2,42.72
5.實體紅K(大陽線),02.8~10%,1.<5%,4412,52.01,49.31,49.26,47.22,46.76
10.長下影線綠K,06.0~2%,2.5~10%,4178,38.42,41.4,41.02,42.49,41.96
9.實體綠K(大陰線),10.-6~-4%,3.10~15%,4125,50.61,50.67,51.66,52.38,52.05
6.長下影線紅K,03.6~8%,1.<5%,4043,55.85,54.34,55.43,52.54,52.54
1.一字線,11.-8~-6%,1.<5%,3911,32.29,31.6,36.08,37.82,39.86
1.一字線,09.-4~-2%,1.<5%,3736,44.49,47.51,47.95,48.19,48.47
8.長上影線紅K,04.4~6%,1.<5%,3634,40.82,45.08,46.63,46.28,47.13
3.倒T字線,09.-4~-2%,1.<5%,3489,47.69,49.99,49.78,47.83,48.67
7.一般紅K(紡錘線),07.0%,1.<5%,3324,38.79,42.75,44.9,44.37,45.6
5.實體紅K(大陽線),01.>10%,2.5~10%,3269,56.75,51.58,51.06,49.17,48.02
12.長上影線綠K,07.0%,2.5~10%,3220,41.88,42.3,43.7,43.95,44.31
6.長下影線紅K,04.4~6%,2.5~10%,3144,38.52,40.61,42.45,41.42,42.61
6.長下影線紅K,08.-2~0%,2.5~10%,3130,34.57,37.36,38.59,39.91,41.43
8.長上影線紅K,08.-2~0%,2.5~10%,3126,45.89,46.54,47.57,48.37,48.58
3.倒T字線,11.-8~-6%,1.<5%,3122,28.44,29.66,37.0,42.18,45.58
9.實體綠K(大陰線),05.2~4%,2.5~10%,3086,36.28,38.29,39.03,39.68,39.76
6.長下影線紅K,04.4~6%,1.<5%,2985,40.92,44.94,46.04,45.96,46.39
11.一般綠K(紡錘線),08.-2~0%,2.5~10%,2984,45.09,47.73,48.94,47.91,47.09
4.十字線,06.0~2%,2.5~10%,2966,42.3,42.49,44.41,43.73,43.31
5.實體紅K(大陽線),07.0%,2.5~10%,2957,34.66,37.0,40.2,41.69,42.47
1.一字線,05.2~4%,1.<5%,2868,33.51,36.12,36.75,36.92,36.75
5.實體紅K(大陽線),09.-4~-2%,2.5~10%,2834,45.02,49.68,50.0,50.44,51.69
12.長上影線綠K,05.2~4%,2.5~10%,2755,41.8,43.66,44.79,42.64,42.15
2.T字線,05.2~4%,1.<5%,2704,37.54,42.01,41.64,43.43,43.54
6.長下影線紅K,09.-4~-2%,1.<5%,2682,42.69,43.34,46.28,47.03,48.67
1.一字線,02.8~10%,1.<5%,2581,71.01,64.8,63.85,60.23,59.99
9.實體綠K(大陰線),07.0%,2.5~10%,2545,39.39,41.04,41.75,42.69,42.0
5.實體紅K(大陽線),04.4~6%,3.10~15%,2532,36.73,37.72,40.01,41.03,40.28
7.一般紅K(紡錘線),04.4~6%,1.<5%,2465,41.05,44.83,45.96,46.09,46.41
6.長下影線紅K,03.6~8%,2.5~10%,2464,52.66,50.24,49.63,47.88,48.35
5.實體紅K(大陽線),10.-6~-4%,1.<5%,2412,49.71,50.33,52.68,52.41,52.49
12.長上影線綠K,10.-6~-4%,2.5~10%,2411,52.22,52.8,53.26,53.89,53.7
12.長上影線綠K,11.-8~-6%,1.<5%,2410,36.51,40.08,46.89,49.09,51.81
12.長上影線綠K,10.-6~-4%,1.<5%,2371,52.76,50.36,50.65,50.06,51.18
10.長下影線綠K,04.4~6%,1.<5%,2349,36.91,41.17,43.51,46.17,45.25
12.長上影線綠K,11.-8~-6%,2.5~10%,2333,47.11,50.96,52.46,53.96,55.55
10.長下影線綠K,05.2~4%,2.5~10%,2291,37.01,39.19,40.82,40.88,40.75
9.實體綠K(大陰線),09.-4~-2%,3.10~15%,2269,46.0,47.26,46.09,47.14,47.72
9.實體綠K(大陰線),04.4~6%,1.<5%,2200,34.77,39.23,40.5,41.75,40.61
8.長上影線紅K,10.-6~-4%,1.<5%,2166,51.41,49.79,52.33,55.33,54.6
10.長下影線綠K,07.0%,2.5~10%,2037,36.22,38.89,40.76,41.2,41.12
8.長上影線紅K,10.-6~-4%,2.5~10%,2014,53.25,54.97,56.16,56.99,59.08
11.一般綠K(紡錘線),10.-6~-4%,2.5~10%,1942,49.74,48.3,49.74,51.18,52.55
8.長上影線紅K,09.-4~-2%,2.5~10%,1938,51.96,53.1,54.72,54.41,55.6
4.十字線,05.2~4%,2.5~10%,1921,44.14,42.37,43.1,43.78,44.95
4.十字線,07.0%,2.5~10%,1909,39.65,40.6,41.25,42.89,43.0
4.十字線,08.-2~0%,2.5~10%,1887,39.9,42.34,41.71,43.37,44.38
8.長上影線紅K,07.0%,2.5~10%,1870,44.78,46.09,47.22,47.11,47.97
10.長下影線綠K,10.-6~-4%,2.5~10%,1820,44.15,46.34,47.88,48.73,51.41
10.長下影線綠K,10.-6~-4%,1.<5%,1762,44.61,46.0,47.76,48.38,49.09
9.實體綠K(大陰線),12.-10~-8%,1.<5%,1659,50.93,51.39,55.22,57.07,59.07
10.長下影線綠K,04.4~6%,2.5~10%,1630,34.38,36.61,38.11,39.3,37.93
1.一字線,10.-6~-4%,1.<5%,1612,48.26,50.68,53.54,51.49,51.61
4.十字線,09.-4~-2%,2.5~10%,1608,43.16,47.82,48.26,48.94,49.25
7.一般紅K(紡錘線),06.0~2%,2.5~10%,1596,40.73,42.61,42.28,43.5,44.81
1.一字線,12.-10~-8%,1.<5%,1592,28.63,26.91,41.24,45.8,54.89
1.一字線,04.4~6%,1.<5%,1567,35.42,35.82,35.82,35.59,36.1
2.T字線,02.8~10%,1.<5%,1489,60.12,54.47,56.73,54.18,51.75
6.長下影線紅K,07.0%,2.5~10%,1477,32.36,35.68,37.37,38.79,40.08
6.長下影線紅K,02.8~10%,1.<5%,1373,56.05,54.71,55.74,53.9,52.98
5.實體紅K(大陽線),05.2~4%,3.10~15%,1363,38.15,42.55,44.46,45.56,44.75
4.十字線,04.4~6%,2.5~10%,1322,43.57,42.59,45.01,45.16,42.81
6.長下影線紅K,02.8~10%,2.5~10%,1221,52.54,49.71,49.88,47.19,46.52
8.長上影線紅K,11.-8~-6%,1.<5%,1218,50.66,46.8,51.97,54.43,56.98
11.一般綠K(紡錘線),05.2~4%,1.<5%,1172,44.58,48.12,48.03,47.95,47.52
2.T字線,09.-4~-2%,1.<5%,1138,39.84,43.36,41.86,43.54,45.03
7.一般紅K(紡錘線),03.6~8%,2.5~10%,1134,42.15,43.46,43.41,44.16,42.92
12.長上影線綠K,09.-4~-2%,3.10~15%,1130,48.32,48.05,45.87,46.94,47.38
4.十字線,04.4~6%,1.<5%,1106,43.94,42.41,43.58,44.76,45.3
9.實體綠K(大陰線),08.-2~0%,3.10~15%,1060,37.64,40.68,40.96,41.38,42.14
2.T字線,03.6~8%,2.5~10%,1051,55.47,49.67,49.67,47.19,46.05
5.實體紅K(大陽線),01.>10%,3.10~15%,1029,50.63,45.19,43.72,43.91,44.44
4.十字線,10.-6~-4%,2.5~10%,1028,46.4,48.44,48.35,49.66,50.54
12.長上影線綠K,08.-2~0%,3.10~15%,973,44.23,45.09,42.3,44.16,46.02
11.一般綠K(紡錘線),06.0~2%,2.5~10%,961,41.92,45.25,43.68,42.93,44.07
10.長下影線綠K,03.6~8%,1.<5%,961,37.46,42.87,43.81,43.91,42.4
3.倒T字線,11.-8~-6%,2.5~10%,915,42.08,44.15,48.31,52.46,55.74
6.長下影線紅K,09.-4~-2%,2.5~10%,901,39.62,43.06,44.84,43.95,45.39
2.T字線,04.4~6%,1.<5%,899,38.38,40.38,41.49,42.98,42.65
9.實體綠K(大陰線),12.-10~-8%,4.>15%,884,45.07,46.03,46.99,47.33,48.98
4.十字線,10.-6~-4%,1.<5%,867,47.98,48.33,50.46,50.81,51.27
11.一般綠K(紡錘線),10.-6~-4%,1.<5%,859,46.57,48.2,50.64,51.22,52.27
12.長上影線綠K,12.-10~-8%,1.<5%,856,44.33,44.68,55.32,59.25,65.57
8.長上影線紅K,11.-8~-6%,2.5~10%,853,51.17,53.76,56.46,58.92,58.8
8.長上影線紅K,05.2~4%,3.10~15%,851,41.88,39.18,38.3,38.93,38.86
12.長上影線綠K,12.-10~-8%,2.5~10%,830,57.95,61.08,62.53,65.78,69.28
3.倒T字線,10.-6~-4%,1.<5%,829,57.18,57.06,56.21,53.2,55.49
3.倒T字線,12.-10~-8%,1.<5%,804,31.59,29.3,56.73,64.09,71.95
9.實體綠K(大陰線),04.4~6%,2.5~10%,795,34.09,35.22,35.97,35.69,36.41
10.長下影線綠K,08.-2~0%,3.10~15%,787,39.24,39.87,45.61,45.99,47.64
10.長下影線綠K,09.-4~-2%,3.10~15%,784,51.85,49.43,55.63,56.01,54.73
8.長上影線紅K,06.0~2%,3.10~15%,768,45.18,45.89,46.07,45.03,43.91
5.實體紅K(大陽線),01.>10%,1.<5%,760,48.42,47.63,51.52,49.93,50.53
5.實體紅K(大陽線),11.-8~-6%,1.<5%,755,47.81,51.06,54.64,54.71,54.58
5.實體紅K(大陽線),06.0~2%,3.10~15%,725,42.48,47.51,47.93,51.38,52.35
8.長上影線紅K,03.6~8%,2.5~10%,715,40.53,40.95,42.64,41.99,43.96
9.實體綠K(大陰線),13.<-10%,2.5~10%,712,53.93,55.48,58.71,59.27,60.53
