N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
紅K -> 紅K -> 十字,00.未知,24,66.67,62.5,54.17,50.0,50.0
紅K -> 十字 -> 十字,04.15~20%,698,66.19,63.04,63.32,60.32,60.32
十字 -> 紅K -> 十字,01.>30%,138,65.94,63.04,55.8,59.42,52.17
十字 -> 紅K -> 紅K,00.未知,41,65.85,43.9,53.66,65.85,63.41
綠K -> 紅K -> 十字,04.15~20%,792,65.78,59.09,58.08,56.06,55.93
十字 -> 十字 -> 紅K,15.<-30%,17,64.71,47.06,58.82,64.71,58.82
紅K -> 紅K -> 十字,02.25~30%,299,64.55,59.2,58.19,56.86,55.85
紅K -> 綠K -> 十字,03.20~25%,56,64.29,44.64,50.0,51.79,50.0
綠K -> 綠K -> 紅K,15.<-30%,49,63.27,55.1,59.18,55.1,63.27
紅K -> 紅K -> 十字,04.15~20%,2536,63.21,59.23,59.11,57.65,56.35
紅K -> 綠K -> 十字,02.25~30%,16,62.5,50.0,56.25,56.25,56.25
十字 -> 綠K -> 十字,12.-20~-15%,564,61.35,59.93,63.83,65.43,66.31
紅K -> 紅K -> 綠K,15.<-30%,31,61.29,67.74,58.06,67.74,64.52
十字 -> 十字 -> 紅K,03.20~25%,924,61.26,57.47,57.25,52.71,51.08
十字 -> 綠K -> 十字,14.-30~-25%,54,61.11,59.26,66.67,64.81,68.52
十字 -> 十字 -> 紅K,01.>30%,344,61.05,54.65,54.07,50.87,51.74
十字 -> 綠K -> 紅K,14.-30~-25%,10,60.0,50.0,50.0,60.0,50.0
紅K -> 紅K -> 十字,12.-20~-15%,42,59.52,61.9,61.9,69.05,64.29
紅K -> 綠K -> 十字,04.15~20%,180,59.44,58.89,54.44,56.11,52.22
十字 -> 綠K -> 十字,03.20~25%,56,58.93,55.36,62.5,55.36,50.0
紅K -> 綠K -> 紅K,15.<-30%,34,58.82,55.88,70.59,58.82,61.76
十字 -> 綠K -> 紅K,03.20~25%,189,58.73,56.08,56.61,50.26,51.32
紅K -> 紅K -> 綠K,12.-20~-15%,162,58.64,54.94,61.11,61.73,65.43
十字 -> 紅K -> 十字,02.25~30%,29,58.62,48.28,51.72,58.62,62.07
十字 -> 十字 -> 綠K,15.<-30%,36,58.33,47.22,63.89,55.56,38.89
綠K -> 綠K -> 紅K,02.25~30%,12,58.33,66.67,66.67,58.33,58.33
十字 -> 紅K -> 紅K,01.>30%,300,58.33,48.0,45.0,43.33,43.0
十字 -> 紅K -> 十字,04.15~20%,303,58.09,49.17,50.83,51.16,48.18
十字 -> 綠K -> 綠K,12.-20~-15%,930,58.06,58.71,62.47,62.47,60.32
綠K -> 綠K -> 綠K,15.<-30%,143,58.04,55.94,62.24,63.64,64.34
紅K -> 紅K -> 紅K,13.-25~-20%,19,57.89,52.63,57.89,63.16,57.89
綠K -> 紅K -> 紅K,00.未知,161,57.76,60.87,52.8,62.73,65.84
紅K -> 十字 -> 紅K,01.>30%,417,57.55,51.32,53.48,47.96,46.28
綠K -> 十字 -> 紅K,15.<-30%,14,57.14,57.14,64.29,85.71,57.14
十字 -> 紅K -> 紅K,13.-25~-20%,21,57.14,57.14,52.38,61.9,66.67
綠K -> 紅K -> 十字,00.未知,28,57.14,60.71,60.71,60.71,57.14
綠K -> 綠K -> 十字,05.10~15%,165,56.97,51.52,49.09,49.09,48.48
十字 -> 紅K -> 紅K,03.20~25%,1043,56.66,51.58,52.83,49.76,47.84
紅K -> 綠K -> 紅K,03.20~25%,903,56.26,52.82,50.72,47.62,49.5
綠K -> 綠K -> 十字,06.5~10%,1217,56.2,53.16,52.42,52.18,53.08
紅K -> 十字 -> 紅K,03.20~25%,1171,56.19,51.49,49.02,47.74,48.51
綠K -> 十字 -> 紅K,04.15~20%,192,55.73,49.48,50.0,52.08,50.52
十字 -> 綠K -> 紅K,11.-15~-10%,1169,55.6,57.83,64.33,63.82,64.07
十字 -> 紅K -> 十字,00.未知,18,55.56,44.44,38.89,27.78,27.78
十字 -> 綠K -> 紅K,04.15~20%,734,55.45,51.09,51.09,48.23,47.28
紅K -> 綠K -> 綠K,12.-20~-15%,1527,55.27,55.66,56.19,58.81,60.45
紅K -> 紅K -> 紅K,15.<-30%,55,54.55,52.73,45.45,47.27,52.73
綠K -> 紅K -> 紅K,03.20~25%,1536,54.3,50.2,49.8,49.48,48.57
綠K -> 綠K -> 綠K,12.-20~-15%,10996,54.19,54.73,56.19,58.72,58.62
紅K -> 綠K -> 紅K,02.25~30%,170,54.12,44.71,48.24,41.76,44.12
綠K -> 紅K -> 紅K,11.-15~-10%,1610,53.85,56.71,58.32,58.26,58.57
十字 -> 紅K -> 紅K,02.25~30%,182,53.85,42.31,41.76,43.96,39.56
十字 -> 紅K -> 十字,05.10~15%,857,53.68,49.36,49.01,48.31,47.26
紅K -> 綠K -> 十字,05.10~15%,978,53.48,52.66,52.76,51.64,51.53
綠K -> 十字 -> 十字,00.未知,15,53.33,53.33,26.67,13.33,26.67
綠K -> 十字 -> 十字,02.25~30%,15,53.33,53.33,40.0,40.0,46.67
十字 -> 紅K -> 綠K,00.未知,15,53.33,40.0,46.67,46.67,33.33
綠K -> 綠K -> 紅K,05.10~15%,2333,53.15,49.59,48.82,47.92,47.88
十字 -> 綠K -> 紅K,00.未知,32,53.12,43.75,43.75,46.88,50.0
綠K -> 綠K -> 紅K,04.15~20%,226,53.1,49.56,48.23,46.9,48.67
綠K -> 十字 -> 紅K,03.20~25%,68,52.94,48.53,44.12,44.12,42.65
綠K -> 綠K -> 紅K,12.-20~-15%,2445,52.84,50.27,57.63,57.87,56.97
紅K -> 綠K -> 綠K,14.-30~-25%,53,52.83,47.17,43.4,43.4,52.83
紅K -> 紅K -> 紅K,11.-15~-10%,258,52.71,54.65,56.59,57.36,57.75
十字 -> 綠K -> 十字,13.-25~-20%,57,52.63,59.65,61.4,63.16,68.42
綠K -> 綠K -> 綠K,11.-15~-10%,44424,52.63,54.08,53.63,55.08,54.98
紅K -> 綠K -> 紅K,11.-15~-10%,1761,52.3,55.99,59.4,59.11,60.42
十字 -> 十字 -> 十字,14.-30~-25%,610,52.3,48.03,53.28,55.25,56.23
十字 -> 綠K -> 綠K,15.<-30%,23,52.17,60.87,60.87,60.87,69.57
紅K -> 綠K -> 紅K,04.15~20%,4105,51.99,48.38,47.21,46.14,45.65
十字 -> 綠K -> 十字,04.15~20%,87,51.72,47.13,45.98,49.43,48.28
紅K -> 綠K -> 綠K,13.-25~-20%,203,51.72,49.75,53.2,54.68,60.1
綠K -> 紅K -> 綠K,00.未知,89,51.69,46.07,30.34,34.83,32.58
十字 -> 綠K -> 綠K,11.-15~-10%,2942,51.67,55.88,56.87,57.92,59.76
紅K -> 紅K -> 紅K,01.>30%,2209,51.52,48.12,48.3,45.13,45.86
綠K -> 十字 -> 十字,01.>30%,33,51.52,45.45,51.52,48.48,45.45
綠K -> 紅K -> 紅K,04.15~20%,5308,51.3,47.49,47.61,46.5,46.08
綠K -> 紅K -> 紅K,02.25~30%,137,51.09,47.45,49.64,49.64,43.8
綠K -> 紅K -> 十字,06.5~10%,4853,51.08,49.1,49.74,49.04,48.24
十字 -> 紅K -> 綠K,11.-15~-10%,1339,51.01,55.41,60.94,59.6,60.79
綠K -> 綠K -> 綠K,13.-25~-20%,1532,50.98,49.48,49.93,55.87,59.66
紅K -> 紅K -> 紅K,03.20~25%,9273,50.91,50.12,49.48,48.81,48.63
十字 -> 十字 -> 十字,02.25~30%,307,50.81,44.95,45.6,44.63,46.58
綠K -> 綠K -> 紅K,11.-15~-10%,12765,50.72,51.3,54.89,55.06,55.03
綠K -> 綠K -> 綠K,10.-10~-5%,187782,50.64,51.25,51.02,51.34,51.24
十字 -> 十字 -> 紅K,13.-25~-20%,81,50.62,48.15,56.79,51.85,54.32
十字 -> 紅K -> 綠K,10.-10~-5%,4052,50.54,53.78,53.9,54.32,54.05
紅K -> 十字 -> 十字,05.10~15%,818,50.49,48.66,50.49,48.9,48.9
十字 -> 綠K -> 綠K,10.-10~-5%,13291,50.31,51.71,51.96,51.8,52.66
綠K -> 十字 -> 紅K,05.10~15%,981,50.25,46.99,48.52,46.79,46.99
十字 -> 紅K -> 紅K,11.-15~-10%,552,50.18,49.09,52.9,53.26,52.17
綠K -> 綠K -> 紅K,03.20~25%,48,50.0,43.75,43.75,43.75,33.33
紅K -> 紅K -> 綠K,14.-30~-25%,14,50.0,57.14,42.86,42.86,42.86
紅K -> 十字 -> 紅K,13.-25~-20%,12,50.0,58.33,50.0,41.67,25.0
綠K -> 紅K -> 紅K,13.-25~-20%,30,50.0,53.33,56.67,56.67,63.33
十字 -> 紅K -> 綠K,15.<-30%,18,50.0,50.0,66.67,50.0,61.11
十字 -> 紅K -> 紅K,15.<-30%,12,50.0,41.67,58.33,41.67,50.0
綠K -> 紅K -> 十字,01.>30%,36,50.0,44.44,55.56,61.11,72.22
十字 -> 綠K -> 綠K,02.25~30%,4,50.0,25.0,25.0,50.0,50.0
綠K -> 十字 -> 紅K,14.-30~-25%,14,50.0,42.86,35.71,35.71,57.14
紅K -> 紅K -> 十字,13.-25~-20%,14,50.0,50.0,64.29,57.14,64.29
十字 -> 綠K -> 紅K,13.-25~-20%,40,50.0,37.5,37.5,42.5,47.5
十字 -> 紅K -> 紅K,14.-30~-25%,8,50.0,62.5,50.0,75.0,62.5
十字 -> 紅K -> 十字,11.-15~-10%,416,49.76,50.0,53.37,55.53,54.57
紅K -> 紅K -> 綠K,11.-15~-10%,1263,49.64,52.34,54.87,56.29,58.19
十字 -> 十字 -> 綠K,13.-25~-20%,109,49.54,48.62,48.62,48.62,47.71
紅K -> 綠K -> 綠K,10.-10~-5%,53218,49.53,50.8,50.56,51.26,51.67
綠K -> 紅K -> 紅K,12.-20~-15%,196,49.49,48.98,55.61,53.06,58.67
綠K -> 紅K -> 綠K,11.-15~-10%,9963,49.34,52.56,53.11,54.5,55.64
十字 -> 綠K -> 紅K,10.-10~-5%,4122,49.25,51.02,51.16,51.97,51.65
綠K -> 十字 -> 十字,06.5~10%,987,49.14,48.13,46.2,45.69,43.77
十字 -> 紅K -> 紅K,04.15~20%,1592,49.12,47.11,47.3,47.61,44.72
紅K -> 綠K -> 綠K,11.-15~-10%,10158,48.88,54.5,53.56,55.96,57.7
綠K -> 十字 -> 紅K,13.-25~-20%,86,48.84,61.63,61.63,68.6,68.6
紅K -> 紅K -> 十字,05.10~15%,3961,48.78,48.85,48.65,48.12,47.34
紅K -> 紅K -> 綠K,13.-25~-20%,39,48.72,48.72,48.72,51.28,53.85
紅K -> 綠K -> 紅K,12.-20~-15%,276,48.55,44.93,49.64,52.54,55.43
綠K -> 紅K -> 綠K,10.-10~-5%,59182,48.43,50.79,50.7,51.48,51.86
十字 -> 十字 -> 綠K,10.-10~-5%,2381,48.38,51.15,52.12,51.32,53.67
紅K -> 十字 -> 十字,15.<-30%,29,48.28,48.28,48.28,51.72,51.72
紅K -> 十字 -> 綠K,10.-10~-5%,3487,48.24,51.39,51.79,51.91,51.53
綠K -> 紅K -> 紅K,05.10~15%,22224,48.2,47.37,47.79,46.68,46.01
紅K -> 紅K -> 綠K,10.-10~-5%,10190,48.19,50.39,52.27,52.53,52.87
綠K -> 十字 -> 綠K,10.-10~-5%,12783,48.16,49.65,49.7,49.88,49.94
紅K -> 十字 -> 紅K,04.15~20%,1242,48.15,47.91,46.3,44.93,45.89
綠K -> 紅K -> 紅K,10.-10~-5%,13560,48.02,50.23,51.72,52.55,53.15
紅K -> 綠K -> 紅K,05.10~15%,19558,47.93,46.23,46.17,45.37,45.51
十字 -> 紅K -> 綠K,04.15~20%,618,47.9,47.25,50.0,46.6,39.48
紅K -> 紅K -> 紅K,00.未知,207,47.83,38.16,39.61,40.1,48.79
紅K -> 綠K -> 紅K,10.-10~-5%,11461,47.8,50.04,52.47,52.17,52.73
十字 -> 紅K -> 紅K,05.10~15%,4928,47.59,45.7,45.82,45.25,43.87
十字 -> 綠K -> 十字,05.10~15%,289,47.4,45.67,44.98,42.56,43.25
紅K -> 綠K -> 綠K,02.25~30%,19,47.37,47.37,26.32,42.11,36.84
十字 -> 紅K -> 紅K,10.-10~-5%,1875,47.36,50.99,54.24,54.56,55.79
十字 -> 紅K -> 十字,12.-20~-15%,150,47.33,43.33,52.0,56.67,55.33
十字 -> 紅K -> 紅K,12.-20~-15%,110,47.27,48.18,51.82,57.27,50.91
綠K -> 綠K -> 紅K,06.5~10%,24467,47.26,46.0,46.03,45.92,45.38
綠K -> 綠K -> 十字,03.20~25%,17,47.06,52.94,47.06,41.18,41.18
十字 -> 綠K -> 十字,11.-15~-10%,940,47.02,52.13,58.94,61.28,61.6
紅K -> 紅K -> 紅K,10.-10~-5%,2505,46.91,48.86,50.78,50.82,51.98
紅K -> 紅K -> 紅K,02.25~30%,2517,46.84,46.21,47.04,46.01,46.32
十字 -> 十字 -> 十字,04.15~20%,1391,46.73,45.0,43.57,44.14,44.21
紅K -> 紅K -> 十字,15.<-30%,15,46.67,46.67,73.33,60.0,60.0
十字 -> 紅K -> 綠K,05.10~15%,1736,46.66,44.7,44.07,44.76,39.98
綠K -> 紅K -> 綠K,14.-30~-25%,73,46.58,47.95,52.05,53.42,56.16
綠K -> 綠K -> 紅K,10.-10~-5%,67706,46.57,48.14,50.05,50.41,50.66
十字 -> 綠K -> 紅K,02.25~30%,58,46.55,37.93,46.55,50.0,48.28
綠K -> 綠K -> 紅K,13.-25~-20%,327,46.48,38.84,46.79,53.21,54.43
紅K -> 十字 -> 紅K,05.10~15%,3458,46.39,44.88,45.14,44.56,44.39
紅K -> 紅K -> 綠K,09.-5~0%,133081,46.33,48.21,48.78,49.16,49.02
十字 -> 綠K -> 紅K,05.10~15%,1823,46.3,45.75,45.31,43.34,42.29
紅K -> 紅K -> 紅K,04.15~20%,19948,46.28,46.19,47.13,46.22,46.83
綠K -> 紅K -> 紅K,01.>30%,134,46.27,44.03,41.79,44.03,42.54
紅K -> 綠K -> 綠K,09.-5~0%,386605,46.23,48.07,48.68,48.82,49.14
綠K -> 綠K -> 綠K,09.-5~0%,653729,46.06,47.97,48.5,48.81,48.97
紅K -> 十字 -> 綠K,09.-5~0%,47319,45.96,48.69,49.27,49.42,49.42
十字 -> 十字 -> 綠K,09.-5~0%,28902,45.88,48.48,49.42,49.92,50.34
綠K -> 十字 -> 紅K,11.-15~-10%,1520,45.86,53.42,53.42,58.88,59.54
綠K -> 十字 -> 紅K,10.-10~-5%,4108,45.62,50.97,51.1,52.46,51.53
綠K -> 綠K -> 紅K,00.未知,147,45.58,36.73,38.78,34.01,35.37
綠K -> 綠K -> 十字,10.-10~-5%,12647,45.47,46.98,47.51,47.76,48.42
十字 -> 綠K -> 綠K,09.-5~0%,105127,45.46,48.1,48.8,49.12,49.6
十字 -> 綠K -> 綠K,03.20~25%,22,45.45,45.45,40.91,40.91,40.91
綠K -> 綠K -> 綠K,02.25~30%,11,45.45,45.45,54.55,63.64,54.55
紅K -> 綠K -> 十字,06.5~10%,5224,45.35,44.79,44.97,45.16,45.16
十字 -> 綠K -> 紅K,06.5~10%,6614,45.34,43.76,43.94,43.41,43.26
綠K -> 紅K -> 綠K,03.20~25%,75,45.33,34.67,38.67,40.0,44.0
綠K -> 十字 -> 紅K,06.5~10%,6094,45.31,46.19,45.77,45.01,44.72
十字 -> 紅K -> 綠K,09.-5~0%,47788,45.31,47.91,48.52,48.92,48.86
綠K -> 紅K -> 綠K,09.-5~0%,418368,45.17,47.24,47.93,48.44,48.47
綠K -> 紅K -> 十字,11.-15~-10%,784,45.15,52.3,51.79,52.68,52.81
紅K -> 十字 -> 紅K,10.-10~-5%,1381,45.04,49.38,53.51,54.38,55.03
紅K -> 紅K -> 紅K,05.10~15%,44598,44.97,45.11,45.29,45.22,45.51
十字 -> 綠K -> 綠K,06.5~10%,2312,44.94,45.2,43.73,42.6,43.81
紅K -> 綠K -> 綠K,06.5~10%,27780,44.92,45.04,44.9,44.73,45.07
十字 -> 紅K -> 綠K,03.20~25%,236,44.92,44.92,44.49,43.64,43.22
綠K -> 紅K -> 綠K,12.-20~-15%,1656,44.87,46.5,50.6,53.8,55.98
十字 -> 綠K -> 綠K,04.15~20%,136,44.85,47.06,42.65,39.71,33.82
十字 -> 十字 -> 綠K,11.-15~-10%,834,44.84,51.44,57.43,57.19,59.35
十字 -> 綠K -> 綠K,05.10~15%,647,44.82,44.82,42.5,43.74,42.35
十字 -> 十字 -> 紅K,10.-10~-5%,1943,44.62,48.38,50.9,52.24,52.86
綠K -> 十字 -> 綠K,09.-5~0%,110172,44.6,47.35,48.12,48.92,49.12
紅K -> 綠K -> 綠K,07.0~5%,282677,44.53,46.12,46.53,46.58,46.94
十字 -> 綠K -> 紅K,15.<-30%,18,44.44,50.0,50.0,55.56,61.11
紅K -> 綠K -> 綠K,08.0%,38392,44.23,46.76,47.84,47.72,48.22
綠K -> 十字 -> 綠K,11.-15~-10%,2660,44.21,53.27,53.65,56.8,59.17
十字 -> 綠K -> 十字,10.-10~-5%,2179,44.19,46.03,47.87,48.0,49.33
紅K -> 綠K -> 紅K,06.5~10%,78133,44.17,44.08,43.96,43.99,44.34
綠K -> 綠K -> 綠K,08.0%,21533,44.1,46.74,47.2,48.03,48.31
紅K -> 綠K -> 紅K,09.-5~0%,136089,44.06,46.22,47.21,47.45,47.96
綠K -> 十字 -> 紅K,00.未知,25,44.0,32.0,44.0,40.0,44.0
綠K -> 綠K -> 綠K,07.0~5%,77289,43.97,45.87,46.37,46.96,47.54
十字 -> 十字 -> 十字,05.10~15%,3428,43.9,42.91,43.58,43.26,43.44
紅K -> 紅K -> 綠K,08.0%,23235,43.89,46.12,47.42,48.05,48.59
十字 -> 十字 -> 綠K,00.未知,32,43.75,37.5,43.75,37.5,25.0
綠K -> 綠K -> 十字,09.-5~0%,109602,43.66,46.35,47.34,47.94,48.42
紅K -> 綠K -> 十字,09.-5~0%,47553,43.56,46.4,47.19,47.35,47.94
綠K -> 綠K -> 十字,00.未知,23,43.48,43.48,39.13,39.13,39.13
綠K -> 綠K -> 紅K,09.-5~0%,410246,43.46,45.55,46.83,47.51,48.04
綠K -> 紅K -> 紅K,06.5~10%,73446,43.43,44.15,44.37,44.37,44.27
十字 -> 十字 -> 十字,09.-5~0%,63859,43.42,45.29,45.82,46.5,46.83
綠K -> 綠K -> 綠K,14.-30~-25%,360,43.33,41.94,43.06,48.33,53.06
綠K -> 綠K -> 綠K,05.10~15%,238,43.28,39.08,39.92,37.39,40.34
紅K -> 紅K -> 綠K,06.5~10%,83876,43.27,44.52,44.55,44.55,44.8
紅K -> 紅K -> 綠K,07.0~5%,334981,43.26,44.99,45.82,46.06,46.46
十字 -> 綠K -> 綠K,07.0~5%,24749,43.25,46.04,46.39,47.04,47.36
紅K -> 紅K -> 綠K,05.10~15%,24193,43.18,44.6,44.0,43.71,43.96
紅K -> 紅K -> 紅K,06.5~10%,105511,43.0,43.97,44.57,44.78,45.16
綠K -> 十字 -> 綠K,08.0%,8202,42.98,45.62,47.04,48.17,48.77
紅K -> 綠K -> 綠K,05.10~15%,3195,42.91,44.26,43.57,43.29,44.51
紅K -> 十字 -> 綠K,07.0~5%,52539,42.89,45.62,46.58,47.3,47.53
十字 -> 綠K -> 綠K,08.0%,8206,42.88,45.98,47.49,48.88,48.67
綠K -> 十字 -> 紅K,01.>30%,28,42.86,42.86,46.43,35.71,35.71
十字 -> 綠K -> 十字,02.25~30%,14,42.86,42.86,35.71,42.86,28.57
綠K -> 紅K -> 十字,15.<-30%,21,42.86,38.1,52.38,42.86,47.62
綠K -> 紅K -> 十字,10.-10~-5%,4043,42.84,46.1,46.35,47.66,47.39
十字 -> 十字 -> 十字,10.-10~-5%,10164,42.81,44.14,45.8,46.16,47.37
十字 -> 紅K -> 十字,10.-10~-5%,1368,42.76,47.3,48.46,49.27,48.17
紅K -> 十字 -> 綠K,08.0%,9380,42.57,46.34,47.68,48.53,49.02
紅K -> 綠K -> 紅K,07.0~5%,344303,42.53,44.35,45.27,45.69,46.15
綠K -> 紅K -> 綠K,08.0%,36453,42.5,45.22,46.22,47.02,47.26
綠K -> 綠K -> 十字,11.-15~-10%,3364,42.48,43.7,46.11,46.31,48.37
綠K -> 紅K -> 綠K,07.0~5%,252624,42.46,44.41,45.02,45.6,45.88
綠K -> 綠K -> 綠K,06.5~10%,1825,42.41,43.78,44.38,44.33,46.58
紅K -> 紅K -> 紅K,07.0~5%,263998,42.4,44.45,45.39,46.07,46.48
綠K -> 紅K -> 紅K,09.-5~0%,154354,42.4,45.23,46.37,47.14,47.58
綠K -> 紅K -> 十字,09.-5~0%,52862,42.37,45.57,46.43,47.15,47.28
十字 -> 綠K -> 十字,09.-5~0%,25852,42.22,45.73,47.02,47.3,48.02
綠K -> 十字 -> 綠K,07.0~5%,22972,42.19,45.22,46.85,46.95,47.25
紅K -> 十字 -> 紅K,06.5~10%,12204,41.97,43.0,43.53,43.23,44.44
綠K -> 紅K -> 紅K,07.0~5%,317184,41.96,44.22,45.24,45.9,46.23
十字 -> 十字 -> 綠K,12.-20~-15%,627,41.95,43.7,60.45,64.59,65.55
十字 -> 十字 -> 紅K,05.10~15%,839,41.95,41.84,40.88,40.76,39.93
綠K -> 十字 -> 十字,15.<-30%,31,41.94,35.48,41.94,51.61,58.06
紅K -> 綠K -> 十字,07.0~5%,62921,41.89,44.2,45.49,46.06,46.43
綠K -> 綠K -> 十字,07.0~5%,25493,41.84,44.03,44.84,45.91,46.25
紅K -> 十字 -> 綠K,11.-15~-10%,737,41.79,51.7,58.62,58.07,60.79
十字 -> 十字 -> 十字,06.5~10%,9961,41.78,42.86,43.19,43.55,43.76
綠K -> 綠K -> 紅K,07.0~5%,243591,41.77,43.69,44.84,45.46,46.06
紅K -> 紅K -> 十字,06.5~10%,10746,41.76,43.07,44.68,44.86,44.72
紅K -> 紅K -> 十字,09.-5~0%,18957,41.73,44.69,45.98,46.47,46.71
十字 -> 綠K -> 紅K,09.-5~0%,46937,41.73,44.64,46.17,46.74,47.14
十字 -> 紅K -> 紅K,06.5~10%,14397,41.68,42.81,43.38,43.56,43.56
綠K -> 十字 -> 綠K,01.>30%,24,41.67,33.33,41.67,41.67,41.67
十字 -> 紅K -> 綠K,07.0~5%,60572,41.63,44.21,45.35,45.78,46.11
十字 -> 紅K -> 綠K,08.0%,10193,41.56,44.16,45.87,46.54,47.09
紅K -> 綠K -> 紅K,00.未知,159,41.51,28.93,30.82,35.22,37.11
十字 -> 綠K -> 綠K,00.未知,29,41.38,31.03,20.69,24.14,31.03
綠K -> 十字 -> 紅K,12.-20~-15%,653,41.35,48.55,57.12,60.95,63.86
紅K -> 十字 -> 綠K,06.5~10%,5294,41.31,42.6,42.29,42.46,42.95
紅K -> 十字 -> 十字,09.-5~0%,13262,41.29,44.87,45.69,46.4,46.77
十字 -> 紅K -> 十字,09.-5~0%,12330,41.27,45.24,45.99,46.5,46.25
十字 -> 十字 -> 十字,11.-15~-10%,3037,41.26,43.37,49.0,49.23,52.52
十字 -> 紅K -> 十字,06.5~10%,2323,41.2,41.89,41.89,40.77,41.46
十字 -> 十字 -> 紅K,04.15~20%,523,41.11,42.26,41.68,40.92,41.3
十字 -> 十字 -> 綠K,07.0~5%,12205,41.11,44.14,46.26,46.34,47.02
綠K -> 十字 -> 紅K,09.-5~0%,47135,41.07,43.71,45.03,45.75,46.09
紅K -> 紅K -> 綠K,04.15~20%,6746,41.05,43.42,43.14,42.4,43.02
綠K -> 十字 -> 十字,09.-5~0%,29155,41.02,44.77,45.52,46.26,46.66
十字 -> 十字 -> 綠K,08.0%,5003,40.94,43.75,46.83,47.99,47.97
紅K -> 綠K -> 十字,08.0%,11800,40.87,44.42,47.02,46.57,47.05
綠K -> 綠K -> 十字,12.-20~-15%,1740,40.86,41.38,45.52,44.77,49.02
綠K -> 十字 -> 十字,10.-10~-5%,2433,40.81,42.66,44.23,46.03,47.84
綠K -> 紅K -> 十字,07.0~5%,52858,40.74,43.61,44.49,45.53,46.01
十字 -> 十字 -> 十字,00.未知,339,40.71,42.77,46.02,44.84,46.31
十字 -> 綠K -> 十字,06.5~10%,968,40.7,39.67,39.98,40.29,41.84
十字 -> 十字 -> 紅K,02.25~30%,133,40.6,44.36,45.86,38.35,40.6
十字 -> 紅K -> 綠K,06.5~10%,6374,40.48,42.78,43.11,42.27,42.09
紅K -> 紅K -> 紅K,09.-5~0%,44501,40.23,43.42,44.39,44.83,45.47
紅K -> 綠K -> 綠K,00.未知,189,40.21,29.63,29.1,28.04,29.63
紅K -> 紅K -> 十字,11.-15~-10%,249,40.16,45.78,46.99,50.2,49.8
十字 -> 紅K -> 紅K,07.0~5%,70400,40.14,42.82,43.83,44.57,44.97
