N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
綠K -> 綠K -> 十字,02.25~30%,4,100.0,75.0,100.0,100.0,100.0
綠K -> 紅K -> 十字,14.-30~-25%,3,100.0,100.0,100.0,100.0,100.0
紅K -> 紅K -> 紅K,14.-30~-25%,6,100.0,83.33,83.33,83.33,66.67
十字 -> 紅K -> 綠K,14.-30~-25%,95,95.79,97.89,97.89,97.89,98.95
十字 -> 十字 -> 綠K,14.-30~-25%,431,92.81,90.95,92.58,93.27,92.34
十字 -> 紅K -> 綠K,13.-25~-20%,283,92.23,91.87,90.81,91.17,91.87
十字 -> 綠K -> 綠K,14.-30~-25%,248,87.9,85.48,87.1,88.31,87.9
綠K -> 十字 -> 十字,03.20~25%,166,76.51,69.88,67.47,63.25,59.64
綠K -> 紅K -> 十字,02.25~30%,25,76.0,64.0,68.0,60.0,60.0
綠K -> 紅K -> 紅K,15.<-30%,40,75.0,65.0,75.0,67.5,60.0
十字 -> 綠K -> 綠K,13.-25~-20%,212,75.0,69.34,72.17,75.0,73.58
十字 -> 十字 -> 十字,03.20~25%,4881,74.14,67.61,66.97,64.41,63.76
紅K -> 綠K -> 綠K,15.<-30%,41,73.17,63.41,58.54,65.85,56.1
綠K -> 十字 -> 綠K,15.<-30%,33,72.73,66.67,51.52,54.55,57.58
紅K -> 十字 -> 十字,03.20~25%,2877,72.33,65.21,64.06,61.11,59.89
紅K -> 十字 -> 十字,01.>30%,757,71.99,63.01,60.24,56.54,55.61
十字 -> 綠K -> 紅K,12.-20~-15%,456,71.93,66.45,73.46,76.1,75.0
紅K -> 十字 -> 十字,02.25~30%,180,70.0,68.89,63.33,63.89,57.78
紅K -> 十字 -> 綠K,15.<-30%,13,69.23,61.54,53.85,61.54,61.54
十字 -> 紅K -> 綠K,12.-20~-15%,548,68.98,67.52,73.54,73.54,72.45
綠K -> 十字 -> 十字,05.10~15%,622,68.17,62.38,63.18,63.5,60.13
紅K -> 紅K -> 十字,03.20~25%,2368,68.16,61.44,62.67,59.59,59.38
十字 -> 紅K -> 十字,03.20~25%,501,67.86,60.28,58.28,58.68,56.89
綠K -> 紅K -> 十字,03.20~25%,336,67.86,64.58,63.1,58.33,54.17
紅K -> 紅K -> 十字,01.>30%,626,67.57,56.23,55.43,50.48,49.84
綠K -> 紅K -> 十字,05.10~15%,2501,67.57,61.7,59.66,57.94,56.9
十字 -> 十字 -> 十字,01.>30%,1387,67.56,60.63,59.41,55.88,55.37
綠K -> 十字 -> 十字,04.15~20%,298,67.45,63.09,61.74,57.05,58.72
綠K -> 紅K -> 綠K,15.<-30%,67,67.16,56.72,62.69,64.18,68.66
綠K -> 十字 -> 綠K,02.25~30%,6,66.67,66.67,50.0,66.67,66.67
綠K -> 綠K -> 綠K,03.20~25%,12,66.67,41.67,33.33,16.67,25.0
紅K -> 綠K -> 十字,15.<-30%,15,66.67,73.33,73.33,60.0,66.67
