K線型態,漲幅區間,隔1日上漲(%),次數(1),隔2日上漲(%),次數(2),隔3日上漲(%),次數(3),隔4日上漲(%),次數(4),隔5日上漲(%),次數(5)
紡錘綠K,-2% ~ -4%,34.12,2529,39.11,2529,39.4,2528,41.01,2524,41.88,2524
紡錘綠K,-0% ~ -2%,34.0,15366,37.61,15362,39.78,15360,40.77,15356,41.56,15349
紡錘綠K,平盤,32.58,2621,37.35,2621,41.32,2621,41.97,2621,42.92,2619
紡錘綠K,+0% ~ +2%,35.93,5494,39.52,5494,41.72,5492,42.46,5492,42.82,5491
紡錘綠K,+2% ~ +4%,34.28,1368,37.13,1368,39.21,1367,39.28,1367,39.65,1367
紡錘綠K,+4% ~ +6%,31.81,1292,36.17,1291,37.1,1291,39.19,1291,37.96,1291
紡錘綠K,+6% ~ +8%,34.41,962,37.42,962,36.8,962,37.21,962,36.07,962
紡錘綠K,+8% ~ +10%,29.55,291,32.99,291,34.14,290,32.41,290,33.91,289
紡錘綠K,+10%以上,31.43,70,25.71,70,32.86,70,34.29,70,30.0,70
長脖十字線,-10%以上,53.25,169,55.62,169,65.68,169,62.13,169,65.68,169
長脖十字線,-8% ~ -10%,46.55,174,47.7,174,58.05,174,58.62,174,61.49,174
長脖十字線,-6% ~ -8%,45.59,397,50.38,397,50.88,397,50.88,397,53.65,397
長脖十字線,-4% ~ -6%,45.12,851,47.36,851,47.47,851,48.35,850,50.0,850
長脖十字線,-2% ~ -4%,44.99,1967,48.35,1967,48.5,1967,48.7,1967,50.33,1967
長脖十字線,-0% ~ -2%,46.6,5893,47.53,5893,49.02,5892,49.38,5891,49.53,5891
長脖十字線,平盤,43.5,5871,47.1,5871,46.9,5870,47.19,5870,47.68,5870
長脖十字線,+0% ~ +2%,45.68,12035,46.92,12034,47.62,12034,48.28,12033,48.87,12031
長脖十字線,+2% ~ +4%,41.66,2247,44.82,2247,42.95,2247,44.33,2247,45.04,2247
長脖十字線,+4% ~ +6%,40.87,367,36.78,367,41.69,367,43.6,367,39.24,367
長脖十字線,+6% ~ +8%,45.28,106,38.68,106,38.68,106,41.51,106,38.68,106
長脖十字線,+8% ~ +10%,39.29,28,39.29,28,32.14,28,32.14,28,28.57,28
長脖十字線,+10%以上,34.15,41,41.46,41,36.59,41,31.71,41,34.15,41
長腳十字線,-10%以上,50.0,10,50.0,10,40.0,10,40.0,10,40.0,10
長腳十字線,-8% ~ -10%,33.33,18,50.0,18,50.0,18,61.11,18,66.67,18
長腳十字線,-6% ~ -8%,47.92,48,50.0,48,38.3,47,51.06,47,46.81,47
長腳十字線,-4% ~ -6%,49.36,235,49.79,235,51.91,235,51.91,235,51.49,235
長腳十字線,-2% ~ -4%,39.57,935,43.1,935,43.96,935,43.85,935,42.78,935
長腳十字線,-0% ~ -2%,37.95,5412,40.02,5412,42.07,5412,44.11,5412,44.85,5411
長腳十字線,平盤,36.71,5233,42.39,5232,44.59,5232,45.26,5232,45.41,5232
長腳十字線,+0% ~ +2%,43.8,7688,46.99,7686,47.61,7686,47.98,7685,48.46,7685
長腳十字線,+2% ~ +4%,45.83,2540,46.85,2540,46.1,2540,46.97,2540,47.87,2540
長腳十字線,+4% ~ +6%,44.48,1405,44.2,1405,45.27,1405,44.84,1405,44.41,1405
長腳十字線,+6% ~ +8%,45.34,697,45.69,696,44.83,696,43.25,696,42.67,696
長腳十字線,+8% ~ +10%,43.78,370,44.05,370,44.05,370,43.51,370,44.05,370
長腳十字線,+10%以上,45.48,598,41.97,598,41.14,598,40.47,598,40.8,598
陰線,-10%以上,44.87,419,46.3,419,49.64,419,51.79,419,55.13,419
陰線,-8% ~ -10%,43.86,2761,50.11,2758,51.51,2757,53.83,2757,54.41,2755
陰線,-6% ~ -8%,37.47,6213,41.2,6213,43.67,6213,45.09,6212,46.18,6211
陰線,-4% ~ -6%,52.95,4684,53.3,4683,52.3,4681,53.03,4680,53.53,4678
陰線,-2% ~ -4%,50.81,10797,51.8,10795,52.08,10791,51.57,10789,51.7,10785
陰線,-0% ~ -2%,49.98,19260,53.49,19257,53.56,19254,53.56,19252,53.41,19250
陰線,平盤,45.03,2787,49.73,2787,50.59,2787,52.28,2787,51.47,2786
陰線,+0% ~ +2%,43.92,2919,47.76,2919,48.34,2919,49.16,2919,49.88,2919
陰線,+2% ~ +4%,34.46,711,36.57,711,35.58,711,37.83,711,37.97,711
陰線,+4% ~ +6%,32.49,237,37.13,237,37.13,237,35.17,236,35.59,236
陰線,+6% ~ +8%,31.71,123,29.27,123,33.33,123,33.33,123,33.33,123
陰線,+8% ~ +10%,30.0,70,28.57,70,34.29,70,42.86,70,38.57,70
陰線,+10%以上,24.14,29,34.48,29,34.48,29,37.93,29,27.59,29
陽線,-10%以上,48.89,45,51.11,45,46.67,45,48.89,45,44.44,45
陽線,-8% ~ -10%,43.68,87,52.87,87,48.28,87,54.02,87,54.02,87
陽線,-6% ~ -8%,44.32,185,46.74,184,50.0,184,51.09,184,50.54,184
陽線,-4% ~ -6%,45.22,429,51.75,429,52.21,429,52.91,429,52.21,429
陽線,-2% ~ -4%,41.01,1034,45.94,1034,48.65,1034,48.65,1034,49.03,1034
陽線,-0% ~ -2%,33.54,3790,37.2,3790,40.66,3790,40.88,3789,41.02,3788
陽線,平盤,29.45,3392,35.5,3392,37.32,3392,38.92,3392,40.04,3392
陽線,+0% ~ +2%,37.91,15739,41.99,15738,43.28,15737,44.44,15735,45.47,15735
陽線,+2% ~ +4%,39.31,10306,41.54,10304,42.94,10304,43.73,10304,43.96,10301
陽線,+4% ~ +6%,39.43,5613,41.16,5612,41.98,5612,41.55,5612,42.02,5611
陽線,+6% ~ +8%,56.18,24227,53.37,24227,53.0,24227,52.12,24227,51.5,24227
陽線,+8% ~ +10%,55.7,13320,50.44,13310,49.89,13300,48.02,13296,47.1,13281
陽線,+10%以上,59.94,1438,53.03,1437,51.15,1437,48.88,1434,49.34,1433
