K線型態,漲跌幅等級,振幅等級,出現次數,T+1勝率(%),T+2勝率(%),T+3勝率(%),T+4勝率(%),T+5勝率(%)
12.長上影線綠K,中跌(-8~-3%),中等波動(4~8%),17995,48.68,49.93,49.95,50.07,50.5
12.長上影線綠K,中跌(-8~-3%),低波動(<4%),12288,45.66,45.89,46.51,46.95,47.9
12.長上影線綠K,中跌(-8~-3%),劇烈波動(>8%),5354,48.79,50.0,49.79,50.65,50.62
12.長上影線綠K,小漲(0~3%),中等波動(4~8%),28275,44.15,45.42,45.58,45.47,45.04
12.長上影線綠K,小漲(0~3%),低波動(<4%),135965,47.58,49.27,49.58,49.53,49.67
12.長上影線綠K,小漲(0~3%),劇烈波動(>8%),2340,41.97,43.68,43.08,42.61,41.45
12.長上影線綠K,小跌(-3~0%),中等波動(4~8%),62155,44.84,46.5,46.21,46.24,46.33
12.長上影線綠K,小跌(-3~0%),低波動(<4%),344819,46.49,48.11,48.36,48.62,48.78
12.長上影線綠K,小跌(-3~0%),劇烈波動(>8%),6315,45.27,46.41,45.53,45.42,45.61
12.長上影線綠K,平盤(0%),中等波動(4~8%),8985,42.52,43.11,44.12,44.34,44.66
12.長上影線綠K,平盤(0%),低波動(<4%),71162,47.16,48.89,49.35,49.67,49.76
12.長上影線綠K,平盤(0%),劇烈波動(>8%),635,40.47,39.21,39.53,39.84,40.0
12.長上影線綠K,漲停或大漲(>8%),中等波動(4~8%),134,30.6,32.84,34.33,29.85,35.82
12.長上影線綠K,漲停或大漲(>8%),低波動(<4%),222,38.29,43.24,45.05,44.59,42.34
12.長上影線綠K,跌停或大跌(<-8%),中等波動(4~8%),1410,52.84,56.45,60.21,62.77,65.32
12.長上影線綠K,跌停或大跌(<-8%),低波動(<4%),926,45.14,47.95,56.26,60.58,64.79
12.長上影線綠K,跌停或大跌(<-8%),劇烈波動(>8%),746,57.77,56.3,57.51,60.32,61.8
2.T字線,中漲(3~8%),中等波動(4~8%),3382,46.98,45.24,46.33,45.21,45.03
2.T字線,中漲(3~8%),低波動(<4%),9047,54.79,52.54,52.34,51.69,51.11
2.T字線,中漲(3~8%),劇烈波動(>8%),484,51.24,46.9,46.69,47.93,45.45
2.T字線,中跌(-8~-3%),中等波動(4~8%),56,23.21,26.79,39.29,39.29,46.43
2.T字線,中跌(-8~-3%),低波動(<4%),1015,42.66,46.11,45.42,47.09,47.39
2.T字線,小漲(0~3%),中等波動(4~8%),1630,29.39,33.13,34.79,35.28,37.42
2.T字線,小漲(0~3%),低波動(<4%),48089,35.17,39.75,41.83,43.36,44.36
2.T字線,小漲(0~3%),劇烈波動(>8%),77,28.57,36.36,40.26,38.96,42.86
2.T字線,小跌(-3~0%),中等波動(4~8%),978,29.55,34.46,34.15,33.84,32.62
2.T字線,小跌(-3~0%),低波動(<4%),26333,34.35,38.18,39.8,40.65,41.71
2.T字線,小跌(-3~0%),劇烈波動(>8%),35,34.29,25.71,22.86,28.57,40.0
2.T字線,平盤(0%),中等波動(4~8%),1581,26.94,30.8,32.95,35.36,36.24
2.T字線,平盤(0%),低波動(<4%),52075,30.69,35.79,38.33,40.22,41.58
2.T字線,平盤(0%),劇烈波動(>8%),60,31.67,31.67,25.0,31.67,30.0
2.T字線,漲停或大漲(>8%),中等波動(4~8%),797,53.45,47.93,50.06,49.44,48.43
2.T字線,漲停或大漲(>8%),低波動(<4%),2102,62.75,60.42,62.37,59.51,57.47
2.T字線,漲停或大漲(>8%),劇烈波動(>8%),583,39.62,34.82,36.36,34.31,35.85
2.T字線,跌停或大跌(<-8%),低波動(<4%),69,47.83,49.28,57.97,50.72,47.83
3.倒T字線,中漲(3~8%),中等波動(4~8%),54,33.33,42.59,38.89,50.0,42.59
3.倒T字線,中漲(3~8%),低波動(<4%),500,43.4,46.6,45.4,45.2,46.4
3.倒T字線,中跌(-8~-3%),中等波動(4~8%),3382,47.16,47.99,50.09,50.68,51.48
3.倒T字線,中跌(-8~-3%),低波動(<4%),8991,36.16,38.43,41.59,42.91,45.97
3.倒T字線,中跌(-8~-3%),劇烈波動(>8%),503,48.71,47.71,53.48,54.67,55.86
3.倒T字線,小漲(0~3%),中等波動(4~8%),836,45.57,44.02,44.62,44.62,45.69
