K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
08.長上影線紅K,06.0~2%,2.5~10%,42.31,43.85,44.56,43.36,44.74,1879
04.十字線,09.-4~-2%,1.<5%,47.87,48.82,47.22,47.87,47.69,1688
01.一字線,02.8~10%,1.<5%,64.53,61.03,61.45,59.09,58.16,1669
09.實體綠K(大陰線),11.-8~-6%,1.<5%,40.39,42.48,43.19,44.8,41.83,1550
10.長下影線綠K,09.-4~-2%,2.5~10%,43.08,46.9,46.5,46.4,47.26,1519
12.長上影線綠K,09.-4~-2%,2.5~10%,47.5,49.5,49.47,47.99,48.46,1502
07.紅K,05.2~4%,1.<5%,39.96,42.16,45.16,47.33,47.16,1499
07.紅K,07.0%,1.<5%,39.97,43.78,42.81,44.54,46.61,1447
02.T字線,05.2~4%,1.<5%,30.21,33.82,37.8,38.61,39.5,1357
06.長下影線紅K,06.0~2%,2.5~10%,37.18,38.68,40.39,40.77,40.12,1334
11.綠K,09.-4~-2%,2.5~10%,50.19,47.68,46.65,47.3,47.58,1076
04.十字線,05.2~4%,1.<5%,41.82,46.0,46.84,48.37,46.7,1076
09.實體綠K(大陰線),06.0~2%,2.5~10%,42.09,42.52,43.99,44.81,45.45,1024
08.長上影線紅K,05.2~4%,2.5~10%,44.02,45.98,45.04,45.83,43.87,1020
10.長下影線綠K,06.0~2%,2.5~10%,38.69,38.79,36.08,38.66,39.12,960
08.長上影線紅K,08.-2~0%,2.5~10%,47.85,45.96,46.69,45.01,43.68,953
05.實體紅K(大陽線),07.0%,2.5~10%,37.39,41.91,41.43,42.27,41.68,952
06.長下影線紅K,05.2~4%,2.5~10%,37.65,39.69,42.21,44.0,42.57,834
05.實體紅K(大陽線),10.-6~-4%,1.<5%,51.8,54.61,54.34,52.2,52.07,749
12.長上影線綠K,10.-6~-4%,1.<5%,53.11,53.55,53.84,50.65,49.06,691
08.長上影線紅K,09.-4~-2%,2.5~10%,56.67,54.64,53.12,55.15,50.87,690
03.倒T字線,11.-8~-6%,1.<5%,26.13,32.55,36.5,41.31,41.75,685
05.實體紅K(大陽線),02.8~10%,2.5~10%,53.26,48.52,50.59,51.64,52.46,674
06.長下影線紅K,09.-4~-2%,1.<5%,46.4,47.93,52.45,49.85,49.23,653
09.實體綠K(大陰線),11.-8~-6%,3.10~15%,46.24,46.08,49.84,51.96,51.14,613
05.實體紅K(大陽線),09.-4~-2%,2.5~10%,45.92,47.88,50.82,48.86,49.26,612
06.長下影線紅K,08.-2~0%,2.5~10%,40.89,42.78,44.06,46.64,46.64,582
05.實體紅K(大陽線),02.8~10%,1.<5%,42.81,40.97,41.84,39.09,39.47,577
12.長上影線綠K,10.-6~-4%,2.5~10%,50.0,51.17,51.53,51.17,49.28,558
08.長上影線紅K,10.-6~-4%,1.<5%,56.65,52.82,52.64,54.83,52.82,549
09.實體綠K(大陰線),12.-10~-8%,2.5~10%,46.55,47.49,47.39,46.46,50.0,538
01.一字線,13.<-10%,1.<5%,28.76,30.26,33.4,36.23,40.19,532
09.實體綠K(大陰線),07.0%,2.5~10%,41.94,41.63,42.22,43.39,43.97,515
02.T字線,09.-4~-2%,1.<5%,39.22,42.14,40.78,41.75,44.55,515
11.綠K,08.-2~0%,2.5~10%,45.76,44.97,46.35,43.68,43.68,508
12.長上影線綠K,06.0~2%,2.5~10%,45.49,44.98,44.78,46.79,45.58,499
12.長上影線綠K,11.-8~-6%,1.<5%,36.09,42.34,45.36,47.38,45.56,496
09.實體綠K(大陰線),04.4~6%,1.<5%,29.53,31.77,36.25,36.94,33.47,491
10.長下影線綠K,07.0%,2.5~10%,37.87,39.83,40.34,38.45,36.76,478
08.長上影線紅K,10.-6~-4%,2.5~10%,57.2,55.05,53.33,53.33,53.76,465
12.長上影線綠K,05.2~4%,1.<5%,45.8,49.78,50.88,51.99,51.88,452
05.實體紅K(大陽線),03.6~8%,3.10~15%,48.21,45.74,44.84,47.76,45.39,446
07.紅K,05.2~4%,2.5~10%,44.01,45.16,47.34,43.65,44.21,434
01.一字線,01.>10%,1.<5%,59.26,56.15,53.83,49.88,49.42,433
02.T字線,03.6~8%,1.<5%,65.42,60.98,62.15,63.32,59.11,428
10.長下影線綠K,05.2~4%,2.5~10%,36.41,34.52,36.88,34.52,38.06,423
12.長上影線綠K,11.-8~-6%,2.5~10%,41.45,43.61,47.58,47.58,51.21,415
04.十字線,08.-2~0%,2.5~10%,35.59,38.01,36.56,40.68,41.5,413
09.實體綠K(大陰線),10.-6~-4%,3.10~15%,51.24,51.49,52.23,54.95,55.2,404
08.長上影線紅K,07.0%,2.5~10%,48.61,49.37,48.61,47.34,46.08,395
06.長下影線紅K,03.6~8%,1.<5%,66.22,66.49,66.76,62.7,58.11,370
05.實體紅K(大陽線),04.4~6%,3.10~15%,38.11,38.38,38.65,41.08,40.54,370
06.長下影線紅K,04.4~6%,1.<5%,38.55,44.69,45.25,47.77,48.04,358
04.十字線,06.0~2%,2.5~10%,40.06,42.4,42.11,40.64,40.76,342
09.實體綠K(大陰線),05.2~4%,2.5~10%,36.36,37.69,39.82,40.55,39.63,330
04.十字線,07.0%,2.5~10%,46.27,46.27,45.65,45.34,44.1,322
03.倒T字線,10.-6~-4%,1.<5%,58.31,57.37,54.23,54.55,55.49,319
07.紅K,06.0~2%,2.5~10%,44.65,43.4,46.37,46.69,46.82,318
09.實體綠K(大陰線),12.-10~-8%,3.10~15%,54.4,51.47,58.31,58.96,58.63,310
