K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
09.實體綠K(大陰線),11.-8~-6%,1.<5%,42.99,44.97,47.7,49.17,49.58,6426
09.實體綠K(大陰線),05.2~4%,1.<5%,38.78,41.63,42.79,43.6,44.54,6375
11.綠K,09.-4~-2%,1.<5%,46.24,47.29,47.19,48.31,48.66,6320
10.長下影線綠K,05.2~4%,1.<5%,40.85,44.13,45.08,45.79,46.14,6064
05.實體紅K(大陽線),08.-2~0%,2.5~10%,38.19,42.25,44.5,45.39,46.01,6050
02.T字線,03.6~8%,1.<5%,58.97,54.6,54.08,52.24,52.24,5810
05.實體紅K(大陽線),02.8~10%,3.10~15%,53.25,48.75,47.71,46.04,45.78,5582
07.紅K,04.4~6%,2.5~10%,39.36,40.84,41.58,41.17,41.81,5565
05.實體紅K(大陽線),09.-4~-2%,1.<5%,45.0,46.16,48.66,48.06,48.82,5555
12.長上影線綠K,05.2~4%,1.<5%,43.18,45.88,46.47,46.14,46.12,5484
11.綠K,09.-4~-2%,2.5~10%,47.43,49.58,49.8,50.11,50.54,5420
11.綠K,07.0%,1.<5%,44.13,47.58,48.53,49.69,50.36,5418
08.長上影線紅K,09.-4~-2%,1.<5%,51.75,51.76,52.38,52.2,51.94,5165
07.紅K,08.-2~0%,1.<5%,40.32,43.38,44.3,45.8,46.37,4879
01.一字線,08.-2~0%,1.<5%,39.56,43.35,44.41,45.03,45.0,4853
05.實體紅K(大陽線),03.6~8%,3.10~15%,46.7,46.19,44.33,44.09,43.67,4848
04.十字線,09.-4~-2%,1.<5%,45.27,46.41,46.95,46.8,46.69,4654
05.實體紅K(大陽線),02.8~10%,1.<5%,53.67,50.68,51.18,48.65,48.66,4543
01.一字線,06.0~2%,1.<5%,39.21,43.43,45.38,45.69,45.29,4483
10.長下影線綠K,06.0~2%,2.5~10%,38.26,42.03,42.53,43.53,43.04,4452
09.實體綠K(大陰線),10.-6~-4%,3.10~15%,49.79,50.64,51.44,51.54,51.23,4375
06.長下影線紅K,03.6~8%,1.<5%,56.18,54.6,55.15,53.0,52.38,4183
08.長上影線紅K,04.4~6%,1.<5%,39.34,43.92,45.8,45.39,46.18,3466
05.實體紅K(大陽線),01.>10%,2.5~10%,57.25,51.97,51.14,49.31,47.89,3286
11.綠K,08.-2~0%,2.5~10%,43.89,46.25,47.21,46.87,46.79,3279
12.長上影線綠K,07.0%,2.5~10%,42.26,42.83,44.6,44.57,44.49,3225
06.長下影線紅K,04.4~6%,2.5~10%,37.98,40.31,42.91,41.49,42.39,3178
08.長上影線紅K,08.-2~0%,2.5~10%,45.15,46.97,47.8,49.06,48.95,3156
09.實體綠K(大陰線),05.2~4%,2.5~10%,36.39,38.47,38.97,39.88,40.06,3085
06.長下影線紅K,08.-2~0%,2.5~10%,34.92,38.35,39.25,41.07,42.1,3073
03.倒T字線,11.-8~-6%,1.<5%,29.79,30.96,37.94,43.42,46.78,2978
04.十字線,06.0~2%,2.5~10%,44.04,44.72,45.71,45.12,44.78,2956
06.長下影線紅K,04.4~6%,1.<5%,40.69,44.92,45.84,46.48,46.92,2830
12.長上影線綠K,05.2~4%,2.5~10%,41.81,44.14,44.68,42.71,41.77,2790
01.一字線,02.8~10%,1.<5%,74.36,67.88,66.68,63.21,62.5,2712
05.實體紅K(大陽線),09.-4~-2%,2.5~10%,45.86,49.59,51.54,51.49,51.94,2656
03.倒T字線,09.-4~-2%,1.<5%,48.51,51.4,50.19,49.85,49.06,2651
06.長下影線紅K,03.6~8%,2.5~10%,52.99,50.54,49.92,48.01,48.28,2592
07.紅K,07.0%,1.<5%,37.36,40.92,42.84,43.77,45.39,2573
05.實體紅K(大陽線),07.0%,2.5~10%,35.52,38.07,40.79,42.28,43.06,2545
09.實體綠K(大陰線),09.-4~-2%,3.10~15%,45.97,47.62,46.61,47.19,47.56,2487
05.實體紅K(大陽線),04.4~6%,3.10~15%,37.58,38.62,40.96,41.76,41.0,2483
09.實體綠K(大陰線),07.0%,2.5~10%,39.37,41.29,42.52,44.04,43.34,2442
06.長下影線紅K,09.-4~-2%,1.<5%,42.34,42.6,45.59,45.68,48.03,2421
07.紅K,04.4~6%,1.<5%,40.83,44.33,46.69,45.89,45.59,2371
12.長上影線綠K,10.-6~-4%,2.5~10%,51.51,52.65,53.01,53.14,53.16,2347
