K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
05.實體紅K(大陽線),05.2~4%,1.<5%,39.84,41.59,42.68,42.84,43.48,40043
05.實體紅K(大陽線),03.6~8%,2.5~10%,48.62,46.62,46.88,46.31,45.95,39698
05.實體紅K(大陽線),06.0~2%,1.<5%,39.85,42.51,43.57,44.75,45.04,26180
05.實體紅K(大陽線),04.4~6%,2.5~10%,37.0,38.04,39.41,39.45,39.38,26178
05.實體紅K(大陽線),02.8~10%,2.5~10%,49.78,46.23,46.57,44.85,44.0,25399
08.長上影線紅K,06.0~2%,1.<5%,44.42,44.57,45.16,45.81,45.97,24174
09.實體綠K(大陰線),08.-2~0%,1.<5%,48.22,51.65,51.79,51.96,51.74,23286
09.實體綠K(大陰線),09.-4~-2%,1.<5%,48.19,49.15,49.1,49.94,50.23,16733
05.實體紅K(大陽線),04.4~6%,1.<5%,39.68,41.59,42.73,42.36,43.23,14104
08.長上影線紅K,05.2~4%,2.5~10%,40.99,41.71,41.49,41.88,41.45,12528
08.長上影線紅K,05.2~4%,1.<5%,40.11,41.05,42.9,43.04,43.39,10697
10.長下影線綠K,08.-2~0%,1.<5%,37.13,41.0,43.02,44.38,44.97,10629
06.長下影線紅K,06.0~2%,1.<5%,36.86,39.38,40.79,41.8,42.45,8954
05.實體紅K(大陽線),03.6~8%,1.<5%,52.87,50.81,51.58,50.72,50.26,8570
09.實體綠K(大陰線),10.-6~-4%,2.5~10%,48.88,49.87,49.07,50.71,51.31,8497
05.實體紅K(大陽線),05.2~4%,2.5~10%,36.38,37.72,39.22,39.1,39.89,8223
12.長上影線綠K,08.-2~0%,1.<5%,47.77,50.53,50.47,50.63,50.23,7932
12.長上影線綠K,06.0~2%,1.<5%,43.62,45.07,45.11,45.26,45.88,7632
09.實體綠K(大陰線),11.-8~-6%,2.5~10%,43.61,45.92,46.53,48.14,49.81,7356
08.長上影線紅K,06.0~2%,2.5~10%,43.56,42.87,42.92,42.65,43.77,5941
04.十字線,06.0~2%,1.<5%,43.83,46.09,46.33,46.62,48.42,5839
