Date,Close,High,Low,Open,Volume
2001-07-23,26.364343643188477,26.364343643188477,26.364343643188477,26.364343643188477,463095
2001-07-24,28.050851821899414,28.140195494541537,27.343235501920883,27.87573378270457,238341541
2001-07-25,30.00572395324707,30.005723953247074,28.05085165635424,28.05085165635424,94092605
2001-07-26,32.046382904052734,32.046382904052734,30.802698527662468,31.07073242229211,64114300
2001-07-27,31.9570369720459,33.37941421314338,31.778346796233865,32.846915768406674,60369077
2001-07-30,31.9570369720459,31.9570369720459,31.9570369720459,31.9570369720459,0
2001-07-31,34.17636489868164,34.17636489868164,31.77833791403259,31.957028039899857,77956786
2001-08-01,32.757568359375,34.53375089278297,32.40018527270357,34.44440720274815,61392002
2001-08-02,33.733219146728516,33.91190930487274,32.66822236255564,32.66822236255564,61392002
2001-08-03,34.355045318603516,34.887543464063604,33.73320352320617,34.087008817772826,52895123
2001-08-06,35.4200553894043,35.4200553894043,33.733216646836055,33.99767839435213,48605439
2001-08-07,34.798213958740234,35.50940252538935,34.3550620232507,35.15202220085045,38953644
2001-08-08,35.4200553894043,35.4200553894043,34.35505868415592,34.79821057657389,35422904
2001-08-09,34.8875617980957,35.95255864869061,34.79821532569583,35.241370054104344,32073649
2001-08-10,34.533748626708984,34.97690329204086,34.265714798681955,34.88755683235816,24187224
2001-08-13,34.265716552734375,35.066248771244474,33.997679935476086,34.79821215398618,23774757
2001-08-14,34.798213958740234,34.798213958740234,33.29006521449137,34.44440849214084,27965449
2001-08-15,34.8875617980957,35.241370054104344,34.44440984519812,34.53375354208707,18742625
2001-08-16,33.82255554199219,34.88755209642869,33.82255554199219,34.619515529276654,26464060
2001-08-17,34.08701705932617,34.08701705932617,33.111366957960186,33.91190179780415,31694177
2001-08-20,35.68452453613281,36.306366702392104,33.73322364144482,33.73322364144482,70796311
2001-08-21,36.21701431274414,36.57439459093556,35.330710556706904,35.95255257382123,44513739
2001-08-22,34.798213958740234,36.217019009609785,34.798213958740234,35.86321076749957,43045344
2001-08-23,34.6195182800293,35.420053188007444,34.08701996050049,35.066245002274734,41609948
